i,j,x_m,y_m
0,1,-1.35,0.005555555555555555
0,2,-1.35,0.01111111111111111
0,3,-1.35,0.016666666666666663
0,4,-1.35,0.02222222222222222
0,5,-1.35,0.027777777777777776
0,6,-1.35,0.033333333333333326
0,7,-1.35,0.03888888888888888
0,8,-1.35,0.04444444444444444
0,9,-1.35,0.049999999999999996
0,10,-1.35,0.05555555555555555
0,11,-1.35,0.0611111111111111
0,12,-1.35,0.06666666666666665
0,13,-1.35,0.07222222222222222
0,14,-1.35,0.07777777777777777
0,15,-1.35,0.08333333333333333
0,16,-1.35,0.08888888888888888
0,17,-1.35,0.09444444444444443
0,18,-1.35,0.09999999999999999
0,19,-1.35,0.10555555555555554
0,20,-1.35,0.1111111111111111
0,21,-1.35,0.11666666666666665
0,22,-1.35,0.1222222222222222
0,23,-1.35,0.12777777777777777
0,24,-1.35,0.1333333333333333
0,25,-1.35,0.13888888888888887
0,26,-1.35,0.14444444444444443
0,27,-1.35,0.15
0,28,-1.35,0.15555555555555553
0,29,-1.35,0.1611111111111111
0,30,-1.35,0.16666666666666666
0,31,-1.35,0.1722222222222222
0,32,-1.35,0.17777777777777776
0,33,-1.35,0.18333333333333332
0,34,-1.35,0.18888888888888886
0,35,-1.35,0.19444444444444442
0,36,-1.35,0.19999999999999998
0,37,-1.35,0.20555555555555552
0,38,-1.35,0.21111111111111108
0,39,-1.35,0.21666666666666665
0,40,-1.35,0.2222222222222222
0,41,-1.35,0.22777777777777775
0,42,-1.35,0.2333333333333333
0,43,-1.35,0.23888888888888887
0,44,-1.35,0.2444444444444444
0,45,-1.35,0.24999999999999997
0,46,-1.35,0.25555555555555554
0,47,-1.35,0.26111111111111107
0,48,-1.35,0.2666666666666666
0,49,-1.35,0.2722222222222222
0,50,-1.35,0.27777777777777773
0,51,-1.35,0.2833333333333333
0,52,-1.35,0.28888888888888886
0,53,-1.35,0.2944444444444444
0,54,-1.35,0.3
0,55,-1.35,0.3055555555555555
0,56,-1.35,0.31111111111111106
0,57,-1.35,0.31666666666666665
0,58,-1.35,0.3222222222222222
0,59,-1.35,0.3277777777777777
0,60,-1.35,0.3333333333333333
0,61,-1.35,0.33888888888888885
0,62,-1.35,0.3444444444444444
1,1,-1.3342446043165468,0.005555555555555555
1,2,-1.3342446043165468,0.01111111111111111
1,3,-1.3342446043165468,0.016666666666666663
1,4,-1.3342446043165468,0.02222222222222222
1,5,-1.3342446043165468,0.027777777777777776
1,6,-1.3342446043165468,0.033333333333333326
1,7,-1.3342446043165468,0.03888888888888888
1,8,-1.3342446043165468,0.04444444444444444
1,9,-1.3342446043165468,0.049999999999999996
1,10,-1.3342446043165468,0.05555555555555555
1,11,-1.3342446043165468,0.0611111111111111
1,12,-1.3342446043165468,0.06666666666666665
1,13,-1.3342446043165468,0.07222222222222222
1,14,-1.3342446043165468,0.07777777777777777
1,15,-1.3342446043165468,0.08333333333333333
1,16,-1.3342446043165468,0.08888888888888888
1,17,-1.3342446043165468,0.09444444444444443
1,18,-1.3342446043165468,0.09999999999999999
1,19,-1.3342446043165468,0.10555555555555554
1,20,-1.3342446043165468,0.1111111111111111
1,21,-1.3342446043165468,0.11666666666666665
1,22,-1.3342446043165468,0.1222222222222222
1,23,-1.3342446043165468,0.12777777777777777
1,24,-1.3342446043165468,0.1333333333333333
1,25,-1.3342446043165468,0.13888888888888887
1,26,-1.3342446043165468,0.14444444444444443
1,27,-1.3342446043165468,0.15
1,28,-1.3342446043165468,0.15555555555555553
1,29,-1.3342446043165468,0.1611111111111111
1,30,-1.3342446043165468,0.16666666666666666
1,31,-1.3342446043165468,0.1722222222222222
1,32,-1.3342446043165468,0.17777777777777776
1,33,-1.3342446043165468,0.18333333333333332
1,34,-1.3342446043165468,0.18888888888888886
1,35,-1.3342446043165468,0.19444444444444442
1,36,-1.3342446043165468,0.19999999999999998
1,37,-1.3342446043165468,0.20555555555555552
1,38,-1.3342446043165468,0.21111111111111108
1,39,-1.3342446043165468,0.21666666666666665
1,40,-1.3342446043165468,0.2222222222222222
1,41,-1.3342446043165468,0.22777777777777775
1,42,-1.3342446043165468,0.2333333333333333
1,43,-1.3342446043165468,0.23888888888888887
1,44,-1.3342446043165468,0.2444444444444444
1,45,-1.3342446043165468,0.24999999999999997
1,46,-1.3342446043165468,0.25555555555555554
1,47,-1.3342446043165468,0.26111111111111107
1,48,-1.3342446043165468,0.2666666666666666
1,49,-1.3342446043165468,0.2722222222222222
1,50,-1.3342446043165468,0.27777777777777773
1,51,-1.3342446043165468,0.2833333333333333
1,52,-1.3342446043165468,0.28888888888888886
1,53,-1.3342446043165468,0.2944444444444444
1,54,-1.3342446043165468,0.3
1,55,-1.3342446043165468,0.3055555555555555
1,56,-1.3342446043165468,0.31111111111111106
1,57,-1.3342446043165468,0.31666666666666665
1,58,-1.3342446043165468,0.3222222222222222
1,59,-1.3342446043165468,0.3277777777777777
1,60,-1.3342446043165468,0.3333333333333333
1,61,-1.3342446043165468,0.33888888888888885
1,62,-1.3342446043165468,0.3444444444444444
2,1,-1.3184892086330937,0.005555555555555555
2,2,-1.3184892086330937,0.01111111111111111
2,3,-1.3184892086330937,0.016666666666666663
2,4,-1.3184892086330937,0.02222222222222222
2,5,-1.3184892086330937,0.027777777777777776
2,6,-1.3184892086330937,0.033333333333333326
2,7,-1.3184892086330937,0.03888888888888888
2,8,-1.3184892086330937,0.04444444444444444
2,9,-1.3184892086330937,0.049999999999999996
2,10,-1.3184892086330937,0.05555555555555555
2,11,-1.3184892086330937,0.0611111111111111
2,12,-1.3184892086330937,0.06666666666666665
2,13,-1.3184892086330937,0.07222222222222222
2,14,-1.3184892086330937,0.07777777777777777
2,15,-1.3184892086330937,0.08333333333333333
2,16,-1.3184892086330937,0.08888888888888888
2,17,-1.3184892086330937,0.09444444444444443
2,18,-1.3184892086330937,0.09999999999999999
2,19,-1.3184892086330937,0.10555555555555554
2,20,-1.3184892086330937,0.1111111111111111
2,21,-1.3184892086330937,0.11666666666666665
2,22,-1.3184892086330937,0.1222222222222222
2,23,-1.3184892086330937,0.12777777777777777
2,24,-1.3184892086330937,0.1333333333333333
2,25,-1.3184892086330937,0.13888888888888887
2,26,-1.3184892086330937,0.14444444444444443
2,27,-1.3184892086330937,0.15
2,28,-1.3184892086330937,0.15555555555555553
2,29,-1.3184892086330937,0.1611111111111111
2,30,-1.3184892086330937,0.16666666666666666
2,31,-1.3184892086330937,0.1722222222222222
2,32,-1.3184892086330937,0.17777777777777776
2,33,-1.3184892086330937,0.18333333333333332
2,34,-1.3184892086330937,0.18888888888888886
2,35,-1.3184892086330937,0.19444444444444442
2,36,-1.3184892086330937,0.19999999999999998
2,37,-1.3184892086330937,0.20555555555555552
2,38,-1.3184892086330937,0.21111111111111108
2,39,-1.3184892086330937,0.21666666666666665
2,40,-1.3184892086330937,0.2222222222222222
2,41,-1.3184892086330937,0.22777777777777775
2,42,-1.3184892086330937,0.2333333333333333
2,43,-1.3184892086330937,0.23888888888888887
2,44,-1.3184892086330937,0.2444444444444444
2,45,-1.3184892086330937,0.24999999999999997
2,46,-1.3184892086330937,0.25555555555555554
2,47,-1.3184892086330937,0.26111111111111107
2,48,-1.3184892086330937,0.2666666666666666
2,49,-1.3184892086330937,0.2722222222222222
2,50,-1.3184892086330937,0.27777777777777773
2,51,-1.3184892086330937,0.2833333333333333
2,52,-1.3184892086330937,0.28888888888888886
2,53,-1.3184892086330937,0.2944444444444444
2,54,-1.3184892086330937,0.3
2,55,-1.3184892086330937,0.3055555555555555
2,56,-1.3184892086330937,0.31111111111111106
2,57,-1.3184892086330937,0.31666666666666665
2,58,-1.3184892086330937,0.3222222222222222
2,59,-1.3184892086330937,0.3277777777777777
2,60,-1.3184892086330937,0.3333333333333333
2,61,-1.3184892086330937,0.33888888888888885
2,62,-1.3184892086330937,0.3444444444444444
3,1,-1.3027338129496404,0.005555555555555555
3,2,-1.3027338129496404,0.01111111111111111
3,3,-1.3027338129496404,0.016666666666666663
3,4,-1.3027338129496404,0.02222222222222222
3,5,-1.3027338129496404,0.027777777777777776
3,6,-1.3027338129496404,0.033333333333333326
3,7,-1.3027338129496404,0.03888888888888888
3,8,-1.3027338129496404,0.04444444444444444
3,9,-1.3027338129496404,0.049999999999999996
3,10,-1.3027338129496404,0.05555555555555555
3,11,-1.3027338129496404,0.0611111111111111
3,12,-1.3027338129496404,0.06666666666666665
3,13,-1.3027338129496404,0.07222222222222222
3,14,-1.3027338129496404,0.07777777777777777
3,15,-1.3027338129496404,0.08333333333333333
3,16,-1.3027338129496404,0.08888888888888888
3,17,-1.3027338129496404,0.09444444444444443
3,18,-1.3027338129496404,0.09999999999999999
3,19,-1.3027338129496404,0.10555555555555554
3,20,-1.3027338129496404,0.1111111111111111
3,21,-1.3027338129496404,0.11666666666666665
3,22,-1.3027338129496404,0.1222222222222222
3,23,-1.3027338129496404,0.12777777777777777
3,24,-1.3027338129496404,0.1333333333333333
3,25,-1.3027338129496404,0.13888888888888887
3,26,-1.3027338129496404,0.14444444444444443
3,27,-1.3027338129496404,0.15
3,28,-1.3027338129496404,0.15555555555555553
3,29,-1.3027338129496404,0.1611111111111111
3,30,-1.3027338129496404,0.16666666666666666
3,31,-1.3027338129496404,0.1722222222222222
3,32,-1.3027338129496404,0.17777777777777776
3,33,-1.3027338129496404,0.18333333333333332
3,34,-1.3027338129496404,0.18888888888888886
3,35,-1.3027338129496404,0.19444444444444442
3,36,-1.3027338129496404,0.19999999999999998
3,37,-1.3027338129496404,0.20555555555555552
3,38,-1.3027338129496404,0.21111111111111108
3,39,-1.3027338129496404,0.21666666666666665
3,40,-1.3027338129496404,0.2222222222222222
3,41,-1.3027338129496404,0.22777777777777775
3,42,-1.3027338129496404,0.2333333333333333
3,43,-1.3027338129496404,0.23888888888888887
3,44,-1.3027338129496404,0.2444444444444444
3,45,-1.3027338129496404,0.24999999999999997
3,46,-1.3027338129496404,0.25555555555555554
3,47,-1.3027338129496404,0.26111111111111107
3,48,-1.3027338129496404,0.2666666666666666
3,49,-1.3027338129496404,0.2722222222222222
3,50,-1.3027338129496404,0.27777777777777773
3,51,-1.3027338129496404,0.2833333333333333
3,52,-1.3027338129496404,0.28888888888888886
3,53,-1.3027338129496404,0.2944444444444444
3,54,-1.3027338129496404,0.3
3,55,-1.3027338129496404,0.3055555555555555
3,56,-1.3027338129496404,0.31111111111111106
3,57,-1.3027338129496404,0.31666666666666665
3,58,-1.3027338129496404,0.3222222222222222
3,59,-1.3027338129496404,0.3277777777777777
3,60,-1.3027338129496404,0.3333333333333333
3,61,-1.3027338129496404,0.33888888888888885
3,62,-1.3027338129496404,0.3444444444444444
4,1,-1.2869784172661871,0.005555555555555555
4,2,-1.2869784172661871,0.01111111111111111
4,3,-1.2869784172661871,0.016666666666666663
4,4,-1.2869784172661871,0.02222222222222222
4,5,-1.2869784172661871,0.027777777777777776
4,6,-1.2869784172661871,0.033333333333333326
4,7,-1.2869784172661871,0.03888888888888888
4,8,-1.2869784172661871,0.04444444444444444
4,9,-1.2869784172661871,0.049999999999999996
4,10,-1.2869784172661871,0.05555555555555555
4,11,-1.2869784172661871,0.0611111111111111
4,12,-1.2869784172661871,0.06666666666666665
4,13,-1.2869784172661871,0.07222222222222222
4,14,-1.2869784172661871,0.07777777777777777
4,15,-1.2869784172661871,0.08333333333333333
4,16,-1.2869784172661871,0.08888888888888888
4,17,-1.2869784172661871,0.09444444444444443
4,18,-1.2869784172661871,0.09999999999999999
4,19,-1.2869784172661871,0.10555555555555554
4,20,-1.2869784172661871,0.1111111111111111
4,21,-1.2869784172661871,0.11666666666666665
4,22,-1.2869784172661871,0.1222222222222222
4,23,-1.2869784172661871,0.12777777777777777
4,24,-1.2869784172661871,0.1333333333333333
4,25,-1.2869784172661871,0.13888888888888887
4,26,-1.2869784172661871,0.14444444444444443
4,27,-1.2869784172661871,0.15
4,28,-1.2869784172661871,0.15555555555555553
4,29,-1.2869784172661871,0.1611111111111111
4,30,-1.2869784172661871,0.16666666666666666
4,31,-1.2869784172661871,0.1722222222222222
4,32,-1.2869784172661871,0.17777777777777776
4,33,-1.2869784172661871,0.18333333333333332
4,34,-1.2869784172661871,0.18888888888888886
4,35,-1.2869784172661871,0.19444444444444442
4,36,-1.2869784172661871,0.19999999999999998
4,37,-1.2869784172661871,0.20555555555555552
4,38,-1.2869784172661871,0.21111111111111108
4,39,-1.2869784172661871,0.21666666666666665
4,40,-1.2869784172661871,0.2222222222222222
4,41,-1.2869784172661871,0.22777777777777775
4,42,-1.2869784172661871,0.2333333333333333
4,43,-1.2869784172661871,0.23888888888888887
4,44,-1.2869784172661871,0.2444444444444444
4,45,-1.2869784172661871,0.24999999999999997
4,46,-1.2869784172661871,0.25555555555555554
4,47,-1.2869784172661871,0.26111111111111107
4,48,-1.2869784172661871,0.2666666666666666
4,49,-1.2869784172661871,0.2722222222222222
4,50,-1.2869784172661871,0.27777777777777773
4,51,-1.2869784172661871,0.2833333333333333
4,52,-1.2869784172661871,0.28888888888888886
4,53,-1.2869784172661871,0.2944444444444444
4,54,-1.2869784172661871,0.3
4,55,-1.2869784172661871,0.3055555555555555
4,56,-1.2869784172661871,0.31111111111111106
4,57,-1.2869784172661871,0.31666666666666665
4,58,-1.2869784172661871,0.3222222222222222
4,59,-1.2869784172661871,0.3277777777777777
4,60,-1.2869784172661871,0.3333333333333333
4,61,-1.2869784172661871,0.33888888888888885
4,62,-1.2869784172661871,0.3444444444444444
5,1,-1.2712230215827338,0.005555555555555555
5,2,-1.2712230215827338,0.01111111111111111
5,3,-1.2712230215827338,0.016666666666666663
5,4,-1.2712230215827338,0.02222222222222222
5,5,-1.2712230215827338,0.027777777777777776
5,6,-1.2712230215827338,0.033333333333333326
5,7,-1.2712230215827338,0.03888888888888888
5,8,-1.2712230215827338,0.04444444444444444
5,9,-1.2712230215827338,0.049999999999999996
5,10,-1.2712230215827338,0.05555555555555555
5,11,-1.2712230215827338,0.0611111111111111
5,12,-1.2712230215827338,0.06666666666666665
5,13,-1.2712230215827338,0.07222222222222222
5,14,-1.2712230215827338,0.07777777777777777
5,15,-1.2712230215827338,0.08333333333333333
5,16,-1.2712230215827338,0.08888888888888888
5,17,-1.2712230215827338,0.09444444444444443
5,18,-1.2712230215827338,0.09999999999999999
5,19,-1.2712230215827338,0.10555555555555554
