x_over_c,x_surface_m,tx,ty,x_probe1_m,y_probe1_m,x_probe2_m,y_probe2_m
-0.80454,-0.3379068,1.0,0.0,-0.3379068,0.0005,-0.3379068,0.0015
-0.74239,-0.31180379999999996,1.0,0.0,-0.31180379999999996,0.0005,-0.31180379999999996,0.0015
-0.67907,-0.28520939999999995,1.0,0.0,-0.28520939999999995,0.0005,-0.28520939999999995,0.0015
-0.61762,-0.2594004,1.0,0.0,-0.2594004,0.0005,-0.2594004,0.0015
-0.55646,-0.23371319999999998,1.0,0.0,-0.23371319999999998,0.0005,-0.23371319999999998,0.0015
-0.49366,-0.2073372,1.0,0.0,-0.2073372,0.0005,-0.2073372,0.0015
-0.46311,-0.1945062,1.0,0.0,-0.1945062,0.0005,-0.1945062,0.0015
-0.4319,-0.181398,1.0,0.0,-0.181398,0.0005,-0.181398,0.0015
-0.40088,-0.1683696,1.0,0.0,-0.1683696,0.0005,-0.1683696,0.0015
-0.36953,-0.1552026,1.0,0.0,-0.1552026,0.0005,-0.1552026,0.0015
-0.33927,-0.1424934,1.0,0.0,-0.1424934,0.0005,-0.1424934,0.0015
-0.30847,-0.12955740000000002,1.0,0.0,-0.12955740000000002,0.0005,-0.12955740000000002,0.0015
-0.27634,-0.11606279999999998,1.0,0.0,-0.11606279999999998,0.0005,-0.11606279999999998,0.0015
-0.2462,-0.103404,1.0,0.0,-0.103404,0.0005,-0.103404,0.0015
-0.21497,-0.09028739999999999,1.0,0.0,-0.09028739999999999,0.0005,-0.09028739999999999,0.0015
-0.18383,-0.07720859999999999,1.0,0.0,-0.07720859999999999,0.0005,-0.07720859999999999,0.0015
-0.15376,-0.0645792,1.0,0.0,-0.0645792,0.0005,-0.0645792,0.0015
-0.12212,-0.0512904,1.0,0.0,-0.0512904,0.0005,-0.0512904,0.0015
-0.09025,-0.037904999999999994,1.0,0.0,-0.037904999999999994,0.0005,-0.037904999999999994,0.0015
-0.07,-0.029400000000000003,1.0,0.0,-0.029400000000000003,0.0005,-0.029400000000000003,0.0015
-0.06,-0.025199999999999997,1.0,0.0,-0.025199999999999997,0.0005,-0.025199999999999997,0.0015
-0.05,-0.021,1.0,0.0,-0.021,0.0005,-0.021,0.0015
-0.04586,-0.0192612,1.0,0.0,-0.0192612,0.0005,-0.0192612,0.0015
-0.04,-0.0168,1.0,0.0,-0.0168,0.0005,-0.0168,0.0015
-0.03151,-0.013234200000000002,1.0,0.0,-0.013234200000000002,0.0005,-0.013234200000000002,0.0015
-0.03,-0.012599999999999998,1.0,0.0,-0.012599999999999998,0.0005,-0.012599999999999998,0.0015
-0.02,-0.0084,1.0,0.0,-0.0084,0.0005,-0.0084,0.0015
-0.01647,-0.006917399999999999,1.0,0.0,-0.006917399999999999,0.0005,-0.006917399999999999,0.0015
-0.01,-0.0042,1.0,0.0,-0.0042,0.0005,-0.0042,0.0015
-0.00189,-0.0007938,1.0,0.0,-0.0007938,0.0005,-0.0007938,0.0015
0.0,0.0,1.0,0.0,0.0,0.0005,0.0,0.0015
0.01,0.0042,0.9996903227598665,0.024884906676016044,0.0041875575466619915,0.0005521368580307369,0.004162672639985976,0.0015518271807906034
0.01228,0.005157599999999999,0.9995334337092151,0.03054365560089327,0.005142328172199552,0.0005786085804931605,0.005111784516598659,0.0015781420142023756
0.02,0.0084,0.998767882383927,0.049625770707626665,0.008375187114646186,0.000708344356358301,0.00832556134393856,0.001707112238742228
0.02711,0.011386199999999999,0.9977495501939222,0.0670509887162449,0.011352674505641877,0.0008823915083715119,0.011285623516925632,0.001880141058565434
0.03,0.012599999999999998,0.9972522160964374,0.07408115476114271,0.012562959422619428,0.0009680139637379687,0.012488878267858284,0.0019652661798344063
0.04168,0.0175056,0.9947739685308169,0.10210167253012678,0.017454549163734935,0.0014009272709302489,0.01735244749120481,0.002395701239461066
0.05692,0.023906399999999998,0.9905071183118247,0.13746144395285925,0.02383766927802357,0.0021720154550474006,0.02370020783407071,0.0031625225733592256
0.07,0.029400000000000003,0.9860514007054632,0.1664410861740398,0.029316779456912984,0.0030151088100032145,0.029150338370738944,0.004001160210708678
0.07094,0.0297948,0.9857070598168727,0.16846837159293807,0.029710565814203532,0.0030819949455039145,0.029542097442610594,0.0040677020053207875
0.08,0.0336,0.9822464080468225,0.18759529279572867,0.03350620235360213,0.0037689961828610264,0.0333186070608064,0.004751242590907849
0.08573,0.0360066,0.9799410478808832,0.19928758786767578,0.03590695620606616,0.004242419604248218,0.03570766861819848,0.005222360652129101
0.09,0.0378,0.9781742261668898,0.20778638854074757,0.03769610680572963,0.004614397087280045,0.03748832041718888,0.005592571313446935
0.1,0.042,0.9739084698394262,0.2269411650076455,0.04188652941749618,0.005548003883983606,0.041659588252488534,0.006521912353823032
0.10021,0.04208819999999999,0.9738173511382567,0.22733184251676958,0.041974534078741604,0.005568529437027201,0.041747202236224835,0.0065423467881654575
