x_over_c,Cf,Cf_uncertainty
-0.07,0.00123,9e-05
-0.06,0.00106,4e-05
-0.05,0.00096,3e-05
-0.04,0.00085,3e-05
-0.03,0.00072,2e-05
-0.02,0.00056,3e-05
-0.01,0.00044,3e-05
0.0,0.00035,2e-05
0.01,0.00055,8e-05
0.02,0.00078,7e-05
0.03,0.00106,0.00014
0.07,0.00351,0.00054
0.08,0.00393,0.00037
0.09,0.00447,0.00044
0.1,0.00483,0.00026
0.11,0.00444,0.00026
0.12,0.00435,0.00044
0.13,0.00444,0.00032
0.14,0.00443,0.00026
0.15,0.00468,0.00029
0.16,0.00499,0.0003
0.17,0.00483,0.00029
0.18,0.0047,0.00029
0.19,0.00466,0.0003
0.2,0.00467,0.00033
0.21,0.00484,0.00107
0.3,0.0061,0.00055
0.31,0.00621,0.00039
0.32,0.00614,0.00023
0.33,0.00619,0.00024
0.34,0.00618,0.00019
0.35,0.00624,0.00017
0.36,0.00622,0.00019
0.37,0.00628,0.00018
0.38,0.00627,0.00025
0.39,0.00659,0.00034
0.4,0.00662,0.00029
0.41,0.00653,0.00028
0.42,0.00647,0.00025
0.43,0.00653,0.00033
0.44,0.00655,0.00025
0.45,0.00653,0.0002
0.46,0.0065,0.00018
0.47,0.00658,0.00017
0.48,0.00653,0.00017
0.49,0.00616,0.00013
0.5,0.00618,0.00014
0.51,0.00624,0.00013
0.52,0.00627,0.00021
0.53,0.00634,0.00018
0.54,0.00633,0.00016
0.55,0.00634,0.00015
0.56,0.00629,0.0002
0.57,0.0062,0.00026
0.59,0.00557,0.00023
0.6,0.00536,0.00015
0.61,0.00521,0.00022
0.62,0.00505,0.0003
0.75,-0.00016,1e-05
0.76,-0.00016,1e-05
0.78,-0.00022,1e-05
0.79,-0.00025,1e-05
0.8,-0.00033,1e-05
0.81,-0.00038,1e-05
0.82,-0.00046,1e-05
0.83,-0.00055,1e-05
0.84,-0.00063,2e-05
0.85,-0.00071,3e-05
0.86,-0.00078,2e-05
0.87,-0.00089,2e-05
0.88,-0.00099,2e-05
0.89,-0.00108,3e-05
0.9,-0.00123,3e-05
0.91,-0.00129,3e-05
0.92,-0.00136,3e-05
0.93,-0.00139,3e-05
0.94,-0.00138,3e-05
0.95,-0.00144,5e-05
0.96,-0.00144,4e-05
0.97,-0.00146,4e-05
0.98,-0.00146,4e-05
0.99,-0.0014,4e-05
1.0,-0.00135,4e-05
1.01,-0.00125,4e-05
1.02,-0.00118,4e-05
1.03,-0.00109,4e-05
1.04,-0.00096,5e-05
1.05,-0.00083,3e-05
1.06,-0.00073,3e-05
1.07,-0.00061,3e-05
1.08,-0.00048,4e-05
1.09,-0.00038,4e-05
1.15,0.00049,4e-05
1.16,0.00061,4e-05
1.17,0.00073,3e-05
1.18,0.00074,3e-05
1.19,0.00081,3e-05
1.2,0.0009,3e-05
1.21,0.00098,3e-05
1.22,0.00104,3e-05
1.23,0.00113,3e-05
1.24,0.00119,3e-05
1.25,0.00127,3e-05
1.26,0.00136,3e-05
1.27,0.00139,4e-05
1.28,0.00144,4e-05
1.29,0.00151,5e-05
1.3,0.00151,5e-05
1.31,0.00157,5e-05
1.32,0.00159,5e-05
1.33,0.00165,4e-05
1.34,0.00169,4e-05
1.35,0.00174,4e-05
1.36,0.00178,4e-05
1.37,0.00183,5e-05
1.38,0.00187,4e-05
1.39,0.00191,4e-05
1.4,0.00195,4e-05
1.41,0.00197,3e-05
1.42,0.00198,4e-05
1.43,0.00202,4e-05
1.44,0.00207,4e-05
1.45,0.00208,5e-05
1.46,0.00212,5e-05
1.47,0.00211,5e-05
1.48,0.00214,4e-05
1.49,0.00216,4e-05
1.5,0.00218,4e-05
1.51,0.00219,4e-05
1.52,0.00222,4e-05
1.53,0.00225,5e-05
1.54,0.00224,4e-05
1.55,0.00223,5e-05
1.56,0.00228,6e-05
1.57,0.00223,0.0001
