iteration,U,p,k,omega
1.0,0.99999991413,1.0,0.999999999999,0.0208692582393
2.0,0.334618084162,0.0313270282155,0.337680480138,0.00752236053758
3.0,0.222238123416,0.0429548579316,0.148119830765,0.00905833425344
4.0,0.141960206151,0.0516139361523,0.0906170462018,0.00706096588532
5.0,0.0778249696901,0.0635835958864,0.0652178971769,0.00733996444468
6.0,0.0250598104844,0.113151762796,0.0456597289979,0.00740289193736
7.0,0.0271600143392,0.079556729028,0.0325485049794,0.0073361171294
8.0,0.0625527080072,0.0460282368232,0.026383096019,0.00756366145241
9.0,0.0782745614306,0.0519089416307,0.0224812443572,0.00612464675593
10.0,0.0674714768421,0.0622540540525,0.018252541499,0.00500380559556
11.0,0.0368405401026,0.0887735236742,0.0144336856235,0.00444981923866
12.0,0.0148825420721,0.37881680647,0.0123390935393,0.0040010465925
13.0,0.024980311843,0.0886382821968,0.0120244644127,0.00362486854762
14.0,0.0313200905806,0.0638404973556,0.0120444554458,0.00321396274159
15.0,0.0276248396404,0.0683425732511,0.0118693421911,0.00286253904863
16.0,0.0187646693425,0.0849056916807,0.0116189281362,0.00275751645488
17.0,0.00922904112152,0.151628985979,0.0114622780287,0.00270332236002
18.0,0.00733982262983,0.133428609248,0.0111263252883,0.00264859701582
19.0,0.0111856583337,0.0733947103728,0.0105538077176,0.00254235021474
20.0,0.0124090769904,0.0666604115232,0.0098498175202,0.00251367246867
21.0,0.0107886601279,0.0724709996138,0.00913911255908,0.00244831038308
22.0,0.00778969151423,0.0918806210143,0.00859057418655,0.00238321066283
23.0,0.00550254438423,0.154117583687,0.00805241035214,0.00230096348044
24.0,0.00589790172145,0.154223840773,0.00757818819438,0.00221294105088
25.0,0.00605957879443,0.0988347885545,0.00718248002344,0.00209560820441
26.0,0.00576402185773,0.0914466400716,0.00682434878788,0.00200245469678
27.0,0.00482518294121,0.105168429747,0.00650751393469,0.00191800115267
28.0,0.00391712251996,0.151242306983,0.00625005117079,0.00184707380245
29.0,0.00363433702684,0.0849428308047,0.00601420353029,0.00179377264655
30.0,0.00375090325954,0.060485589505,0.00578836429629,0.00175279649214
31.0,0.00372010532784,0.0526446236178,0.00558234522756,0.0017167703375
32.0,0.00349948585432,0.0505685490505,0.00538048972751,0.00168267854647
33.0,0.00328952248971,0.0524393111667,0.0051974099789,0.00164715247199
34.0,0.00322517586426,0.0558118054346,0.00503126727935,0.00160815761709
35.0,0.0031627440609,0.0587073638718,0.00487564276515,0.00156722226231
36.0,0.00305308828776,0.0610041633712,0.0047352906832,0.00152494202311
37.0,0.00292083822598,0.0571765751789,0.00461523487923,0.00148199430853
38.0,0.00281245897445,0.0488801149668,0.00450662739924,0.00143895809211
39.0,0.00272229236326,0.0407813691623,0.00440335471073,0.00139788097571
40.0,0.0026485088482,0.0343584329329,0.00430639431219,0.00135981399953
41.0,0.00258710081961,0.029771718346,0.00421473913132,0.00132536186188
42.0,0.00253461841508,0.0272970168773,0.00412463569967,0.00129276700917
43.0,0.00248864956993,0.0255353742957,0.00403823659735,0.00126127054447
44.0,0.00244689352223,0.0242460438069,0.00395795821402,0.00123082118733
45.0,0.00240635875983,0.0233919107948,0.0038830602318,0.00120174884517
46.0,0.00236714895015,0.0228204062573,0.00381285598484,0.00117336725359
47.0,0.00233098913186,0.0224093381975,0.00374881527856,0.00114548773818
48.0,0.00230002256614,0.0216369303063,0.00369000546342,0.00111810059888
49.0,0.00227435484613,0.0205249287202,0.00363488754242,0.00109189313481
50.0,0.00225255025284,0.0190788031244,0.0035806821641,0.00106645778647
51.0,0.00223444035181,0.0176627874978,0.0035288978611,0.00104176008459
52.0,0.00222003243753,0.0165640135109,0.00347956493749,0.00101777611937
53.0,0.00220891830093,0.0157057051465,0.00342985469925,0.000994554277778
54.0,0.00220063236343,0.0150448227868,0.00338195275316,0.000972117702079
55.0,0.00219395527583,0.0144810564315,0.00333617247345,0.000950063274734
56.0,0.00218787704643,0.0139393505532,0.003293037458,0.000928556997029
57.0,0.00218174807596,0.0134169579986,0.00325057178369,0.000907720259648
58.0,0.00217425122384,0.0128981553271,0.0032093806348,0.000887937116778
59.0,0.00216548046134,0.0124524763659,0.0031691346077,0.000868865854011
60.0,0.00215639352067,0.0120153980585,0.00313017770452,0.000850265815836
61.0,0.00214754529969,0.0116143231685,0.00309101986622,0.000832314217259
62.0,0.00213944052504,0.0113196125562,0.00305219377372,0.000815024187088
63.0,0.00213172115382,0.0110980401275,0.00301338052073,0.000798187678424
64.0,0.00212327959924,0.0109629197193,0.00297554943763,0.000781697660714
65.0,0.00211357408926,0.0108911510639,0.00293749007681,0.000765621560517
66.0,0.00210229003175,0.0108637554165,0.00289888481834,0.000750108619616
67.0,0.00208909904246,0.0107344140066,0.00286001346114,0.000735064530773
68.0,0.00207419914966,0.0105018650807,0.00282215130413,0.000720497468825
69.0,0.0020576503752,0.0101319271408,0.00278517878551,0.0007064551802
70.0,0.00203980496764,0.00990207740724,0.0027492593915,0.000692935084695
71.0,0.00202057091951,0.00996405223631,0.00271237084933,0.000679693634307
72.0,0.00200007740862,0.00996857073715,0.00267514844751,0.000666939844429
73.0,0.00197831792341,0.00990259278183,0.00263881331521,0.000654562183818
74.0,0.00195543258929,0.0098185793536,0.00260295523445,0.000642429207494
75.0,0.00193127136021,0.00973308621562,0.00256861295303,0.000630548766549
76.0,0.00190571390959,0.00970046943601,0.0025341108648,0.000618953296845
77.0,0.00187876401567,0.00969450707747,0.00250086558759,0.000607592193216
78.0,0.00185060604286,0.00971553528929,0.0024679178291,0.00059652922507
79.0,0.00182133151209,0.00967481143455,0.00243535454656,0.000585720387474
80.0,0.00179079524334,0.00958647673807,0.00240318668824,0.000575310151813
