x_m,x_over_c,Cp,Cf,tau_w_m2s2,p_wall_m2s2
-1.3464749902829865,-3.205892834007111,0.0,-0.005159340718203148,-3.7831407547,32.74357899950909
-1.3438080531889596,-3.199542983783237,-0.011030516927489058,-0.005637056155895483,-4.1334306154,24.655336641999998
-1.3411411160949327,-3.1931931335593635,-0.011030516927489058,-0.005679932058129409,-4.16486982091,24.655336641999998
-1.338474179000906,-3.1868432833354907,-0.01479037977773123,-0.005408297050979835,-3.96569059975,21.898377728499998
-1.3358072419068792,-3.180493433111617,-0.01479037977773123,-0.005042493943421198,-3.6974616302,21.898377728499998
-1.3331403048128523,-3.174143582887744,-0.015532965102331545,-0.004684322582670142,-3.43482871913,21.35386924209091
-1.3304733677188256,-3.1677937326638705,-0.015532965102331545,-0.0043675980528611585,-3.20258713204,21.35386924209091
-1.3278064306247988,-3.1614438824399973,-0.016718005491214796,-0.00410623863269602,-3.01094259293,20.484925934018182
-1.3251394935307719,-3.1550940322161236,-0.016718005491214796,-0.00390033618651216,-2.85996246229,20.484925934018182
-1.322472556436745,-3.14874418199225,-0.017874129208477373,-0.00374294729987501,-2.74455540858,19.637186079036365
-1.3198056193427181,-3.1423943317683767,-0.018736257793190325,-0.0036247831813250534,-2.65791032793,19.005021241945453
-1.3171386822486912,-3.136044481544503,-0.018736257793190325,-0.0035360959788506264,-2.5928795055,19.005021241945453
-1.3144717451546646,-3.12969463132063,-0.019377421590429447,-0.003468149218020062,-2.54305682968,18.534881155399997
-1.3118048080606377,-3.1233447810967565,-0.019377421590429447,-0.0034144324358532873,-2.50366843513,18.534881155399997
-1.3091378709666108,-3.116994930872883,-0.019893141188840797,-0.0033701848982728507,-2.4712234636,18.156724344809092
-1.3064709338725842,-3.11064508064901,-0.019893141188840797,-0.003332128014859657,-2.44331785424,18.156724344809092
-1.3038039967785573,-3.1042952304251363,-0.020274738673586857,-0.003298207459831806,-2.4184452511,17.876913982345453
-1.3011370596845304,-3.097945380201263,-0.020274738673586857,-0.0032670259354895016,-2.39558107097,17.876913982345453
-1.2984701225905035,-3.0915955299773894,-0.020558953124398115,-0.0032376754313371576,-2.37405950562,17.668510752036365
-1.2958031854964767,-3.085245679753516,-0.020797898429176627,-0.003209676030483027,-2.35352865095,17.49330159838182
-1.2931362484024498,-3.0788958295296425,-0.020797898429176627,-0.003182759804776065,-2.33379204583,17.49330159838182
-1.2904693113084231,-3.0725459793057697,-0.02098840127216354,-0.003156758584650339,-2.31472637816,17.353613388481815
-1.2878023742143963,-3.066196129081896,-0.02098840127216354,-0.0031316048560232,-2.29628214253,17.353613388481815
-1.2851354371203694,-3.0598462788580223,-0.0211566168644394,-0.00310727098534559,-2.27843907635,17.23026753918182
-1.2824685000263427,-3.0534964286341495,-0.0211566168644394,-0.0030836983018858915,-2.26115415869,17.23026753918182
-1.2798015629323158,-3.047146578410276,-0.021322058231060256,-0.0030608159736137423,-2.24437545122,17.10895591997273
-1.277134625838289,-3.0407967281864026,-0.021322058231060256,-0.003047118737747362,-2.2343318092,17.10895591997273
-1.274467688744262,-3.034446877962529,-0.021470091024404014,-0.0030342753904240034,-2.22491428992,17.00040931990909
-1.2718007516502352,-3.028097027738655,-0.021470091024404014,-0.0030212519339034355,-2.21536470368,17.00040931990909
-1.2691338145562083,-3.021747177514782,-0.021609938026315962,-0.0030082186277318903,-2.20580789508,16.897865037363633
-1.2664668774621817,-3.0153973272909087,-0.02175298616360513,-0.002995316577819206,-2.19634733151,16.792973488690908
-1.2637999403681548,-3.0090474770670355,-0.02175298616360513,-0.002982631526722085,-2.1870458846,16.792973488690908
-1.261133003274128,-3.0026976268431618,-0.02188607261662124,-0.0029702243265797078,-2.17794817482,16.69538644960909
-1.258466066180101,-2.996347776619288,-0.02188607261662124,-0.002958139097142148,-2.16908655344,16.69538644960909
-1.2557991290860744,-2.9899979263954153,-0.02201130080717314,-0.0029463855771039073,-2.16046816146,16.603561563990908
-1.2531321919920475,-2.9836480761715416,-0.02201130080717314,-0.0029349513701065304,-2.15208390912,16.603561563990908
-1.2504652548980206,-2.9772982259476684,-0.02213647747607494,-0.0029238283484382425,-2.14392783669,16.51177445716364
-1.2477983178039938,-2.9709483757237947,-0.02213647747607494,-0.0029130127696228004,-2.13599719996,16.51177445716364
-1.2451313807099669,-2.9645985254999214,-0.022255163488791124,-0.0029024968134789744,-2.1282862647,16.424746692136363
-1.24246444361594,-2.9582486752760477,-0.022364653919904807,-0.002892275267261771,-2.12079120861,16.34446168387273
-1.2397975065219133,-2.951898825052175,-0.022364653919904807,-0.002882346088300133,-2.11351053388,16.34446168387273
-1.2371305694278865,-2.9455489748283012,-0.022469602918880806,-0.002872702375335914,-2.10643918009,16.26750672840909
-1.2344636323338596,-2.9391991246044276,-0.022469602918880806,-0.002863329976386291,-2.09956677015,16.26750672840909
-1.231796695239833,-2.9328492743805548,-0.022569351785446952,-0.0028542166504536923,-2.09288432822,16.194364824636363
-1.229129758145806,-2.926499424156681,-0.022569351785446952,-0.0028453563515831,-2.08638742104,16.194364824636363
-1.2264628210517792,-2.920149573932808,-0.022657233406284782,-0.0028367414584994006,-2.08007046023,16.129924703400004
-1.2237958839577523,-2.913799723708934,-0.022657233406284782,-0.002828359386493613,-2.07392421792,16.129924703400004
-1.2211289468637254,-2.9074498734850605,-0.02274436554492509,-0.0028201947869140637,-2.06793743955,16.066034147854545
-1.2184620097696985,-2.901100023261187,-0.02284141963629321,-0.0028122313979820263,-2.062098201,15.994868216290909
-1.2157950726756719,-2.894750173037314,-0.02284141963629321,-0.002804454748019292,-2.05639589076,15.994868216290909
-1.213128135581645,-2.8884003228134407,-0.022939228826515886,-0.0027968540994912443,-2.05082263542,15.923148600563637
-1.2104611984876181,-2.882050472589567,-0.022939228826515886,-0.002789421053650101,-2.04537227651,15.923148600563637
-1.2077942613935915,-2.8757006223656942,-0.023033305077465024,-0.0027821493821090864,-2.040040247,15.854166201754543
-1.2051273242995646,-2.8693507721418205,-0.023033305077465024,-0.0027750332368782983,-2.03482225879,15.854166201754543
-1.2024603872055377,-2.863000921917947,-0.02312694869959088,-0.002768067712061402,-2.02971471458,15.785501032572729
-1.1997934501115108,-2.8566510716940736,-0.02312694869959088,-0.002761251123986632,-2.0247163798,15.785501032572729
-1.197126513017484,-2.8503012214702,-0.023219652126668856,-0.0027545815991179123,-2.01982588066,15.717525271281819
-1.194459575923457,-2.8439513712463267,-0.02330813740654366,-0.0027480546661384324,-2.01503993852,15.65264251071818
-1.1917926388294304,-2.8376015210224534,-0.02330813740654366,-0.0027416652775241537,-2.01035485223,15.65264251071818
-1.1891257017354036,-2.83125167079858,-0.023393742059522316,-0.0027354090042215552,-2.00576737414,15.589872000072724
-1.1864587646413767,-2.8249018205747065,-0.023393742059522316,-0.002729282099894921,-2.00127475721,15.589872000072724
-1.18379182754735,-2.8185519703508333,-0.023478715397485857,-0.0027232802110300496,-1.99687380918,15.527564407790909
-1.1811248904533231,-2.81220212012696,-0.023478715397485857,-0.002717396544229506,-1.99255954872,15.527564407790909
-1.1784579533592963,-2.8058522699030863,-0.02356196569931646,-0.002711623515230944,-1.98832641459,15.466520249845452
-1.1757910162652694,-2.799502419679213,-0.02356196569931646,-0.0027059547015146727,-1.98416969741,15.466520249845452
-1.1731240791712425,-2.7931525694553394,-0.023642495553948917,-0.002700384867356144,-1.98008555803,15.407470888372726
-1.1704571420772156,-2.7868027192314657,-0.023721551815784676,-0.0026949115292723386,-1.97607217541,15.349502054290907
-1.167790204983189,-2.780452869007593,-0.023721551815784676,-0.002689534016942137,-1.97212905803,15.349502054290907
-1.165123267889162,-2.7741030187837192,-0.023799165689472504,-0.0026842503158836456,-1.96825472875,15.292590866463634
-1.1624563307951352,-2.767753168559846,-0.023799165689472504,-0.002679057940172694,-1.96444736474,15.292590866463634
-1.1597893937011086,-2.7614033183359727,-0.023874402251178123,-0.0026739550265560464,-1.96070559975,15.237422867609093
-1.1571224566070817,-2.7550534681120995,-0.023874402251178123,-0.00266893919466547,-1.95702768835,15.237422867609093
-1.1544555195130548,-2.748703617888226,-0.023947895613483757,-0.0026640086648878534,-1.95341232562,15.183533088018182
-1.151788582419028,-2.742353767664352,-0.023947895613483757,-0.0026591630987077577,-1.94985926334,15.183533088018182
-1.149121645325001,-2.736003917440479,-0.024020517421806747,-0.002654400817090242,-1.94636727034,15.130282384536361
-1.1464547082309742,-2.729654067216605,-0.024020517421806747,-0.002649718178982776,-1.94293367678,15.130282384536361
-1.1437877711369475,-2.7233042169927324,-0.024091953565776664,-0.002645110856782821,-1.9395553094,15.077901081890907
-1.1411208340429206,-2.7169543667688587,-0.024161177343993645,-0.0026405742012422595,-1.93622875909,15.027142019663636
-1.1384538969488938,-2.7106045165449855,-0.024161177343993645,-0.0026361051951386987,-1.93295181344,15.027142019663636
-1.135786959854867,-2.704254666321112,-0.024228631307241608,-0.002631703086338347,-1.92972392094,14.977680692845455
-1.1331200227608402,-2.6979048160972385,-0.024228631307241608,-0.0026273664998182774,-1.92654407334,14.977680692845455
-1.1304530856668134,-2.6915549658733653,-0.024295461004649778,-0.002623093025848249,-1.92341050368,14.92867711550909
-1.1277861485727865,-2.6852051156494916,-0.024295461004649778,-0.0026188809737467105,-1.92032197225,14.92867711550909
-1.1251192114787596,-2.6788552654256184,-0.024361401052484695,-0.0026147291917401794,-1.9172776345,14.880325883063636
-1.1224522743847327,-2.6725054152017447,-0.024361401052484695,-0.0026106369355092763,-1.91427694465,14.880325883063636
-1.119785337290706,-2.666155564977872,-0.024426142313791366,-0.0026066039381911336,-1.91131970702,14.832853673427273
-1.1171184001966792,-2.659805714753998,-0.024489902817533955,-0.0026026295271053056,-1.90840542836,14.78610061457273
-1.1144514631026523,-2.6534558645301245,-0.024489902817533955,-0.0025987127285187184,-1.90553339467,14.78610061457273
-1.1117845260086257,-2.6471060143062517,-0.024552740794239622,-0.002594852212467465,-1.90270263074,14.740024008354546
-1.1091175889145988,-2.640756164082378,-0.024552740794239622,-0.002591046070993869,-1.89991173754,14.740024008354546
-1.106450651820572,-2.6344063138585048,-0.024614822231513782,-0.002587291716013613,-1.89715881733,14.694502142618179
-1.103783714726545,-2.628056463634631,-0.024614822231513782,-0.0025835871168295573,-1.89444238108,14.694502142618179
-1.1011167776325181,-2.6217066134107574,-0.0246763605174175,-0.002579931145329661,-1.89176160159,14.649378548327274
-1.0984498405384913,-2.615356763186884,-0.0246763605174175,-0.0025763224161672415,-1.88911546304,14.649378548327274
-1.0957829034444644,-2.6090069129630105,-0.024737247465098436,-0.0025727595393860705,-1.88650294623,14.604732554627274
-1.0931159663504377,-2.6026570627391377,-0.024797520482668593,-0.002569241270230702,-1.88392313843,14.560536731627273
-1.0904490292564109,-2.596307212515264,-0.024797520482668593,-0.0025657662340600644,-1.88137503167,14.560536731627273
-1.0877820921623842,-2.589957362291391,-0.02485680080972091,-0.002562333651478567,-1.87885805445,14.517068809372727
-1.0851151550683573,-2.5836075120675175,-0.02485680080972091,-0.002558943851237043,-1.87637244783,14.517068809372727
-1.0824482179743304,-2.577257661843644,-0.02491511407017635,-0.0025555968669388296,-1.87391823645,14.474309998854546
-1.0797812808803036,-2.5709078116197706,-0.02491511407017635,-0.0025522919057824603,-1.87149483898,14.474309998854546
-1.0771143437862767,-2.564557961395897,-0.024973021233195614,-0.002549028175989297,-1.86910167484,14.431848963545455
-1.0744474066922498,-2.5582081111720236,-0.024973021233195614,-0.0025458048298387815,-1.86673812243,14.431848963545455
-1.071780469598223,-2.55185826094815,-0.0250305178278636,-0.0025426205392762866,-1.86440320794,14.38968898179091
-1.0691135325041963,-2.545508410724277,-0.02508735409759808,-0.0025394743848195828,-1.86209625715,14.348013190227272
-1.0664465954101694,-2.5391585605004034,-0.02508735409759808,-0.002536365936839636,-1.85981695503,14.348013190227272
-1.0637796583161427,-2.53280871027653,-0.025143471427027886,-0.0025332939477307175,-1.85756438676,14.306864569190909
-1.0611127212221159,-2.526458860052657,-0.025143471427027886,-0.0025302568883909604,-1.85533743111,14.306864569190909
-1.058445784128089,-2.5201090098287833,-0.025198783909563077,-0.002527253662361466,-1.85313528409,14.266306110590909
-1.055778847034062,-2.51375915960491,-0.025198783909563077,-0.002524283486346257,-1.85095737134,14.266306110590909
-1.0531119099400352,-2.5074093093810363,-0.025253607818602967,-0.0025213457594811116,-1.84880325227,14.226105903636364
-1.0504449728460084,-2.5010594591571627,-0.025253607818602967,-0.002518440231636642,-1.84667274347,14.226105903636364
-1.0477780357519815,-2.4947096089332894,-0.02530829040853706,-0.0025155669865757116,-1.84456590636,14.1860093204
-1.0451110986579548,-2.488359758709416,-0.02536269546749818,-0.00251272561820799,-1.84248244317,14.146116239663638
-1.042444161563928,-2.482009908485543,-0.025303314373689958,-0.002509915531997155,-1.84042191795,14.1896580502
-1.0397772244699013,-2.4756600582616697,-0.025416740692167497,-0.0025071366015215596,-1.838384238,14.1064870112
-1.0371102873758744,-2.4693102080377964,-0.025416740692167497,-0.002504388543034842,-1.83636919526,14.1064870112
-1.0344433502818475,-2.4629603578139228,-0.02547032087398432,-0.002501670486859717,-1.83437615203,14.067198780290909
-1.0317764131878207,-2.456610507590049,-0.02547032087398432,-0.0024989818186033474,-1.8324046578,14.067198780290909
-1.0291094760937938,-2.450260657366176,-0.02552327906169523,-0.002496322278617217,-1.83045452218,14.028366633090911
-1.026442538999767,-2.443910807142302,-0.02552327906169523,-0.002493691167531866,-1.82852523235,14.028366633090911
-1.02377560190574,-2.437560956918429,-0.02557593268765763,-0.002491087646027571,-1.82661617287,13.989757808990909
-1.0211086648117134,-2.4312111066945556,-0.02557593268765763,-0.0024885109868184635,-1.82472681045,13.989757808990909
-1.0184417277176865,-2.4248612564706824,-0.025628475096367523,-0.0024859604045083567,-1.82285656919,13.95123053610909
-1.0157747906236596,-2.4185114062468087,-0.025680678479414264,-0.0024834351729023994,-1.8210049166,13.912951857354546
-1.013107853529633,-2.4121615560229355,-0.025680678479414264,-0.0024809350873666314,-1.81917170263,13.912951857354546
-1.010440916435606,-2.4058117057990622,-0.025732522856896138,-0.002478460420355385,-1.81735712706,13.8749364232
-1.0077739793415792,-2.3994618555751885,-0.025732522856896138,-0.002476011190702349,-1.8155612037,13.8749364232
-1.0051070422475523,-2.3931120053513153,-0.02578400433624885,-0.0024735870055594155,-1.81378364449,13.837187087909088
-1.0024401051535254,-2.3867621551274416,-0.02578400433624885,-0.0024711874433301665,-1.81202414029,13.837187087909088
-0.9997731680594987,-2.3804123049035684,-0.02583497581633366,-0.0024688123424621944,-1.81028257264,13.799811714936363
-0.9971062309654719,-2.374062454679695,-0.02583497581633366,-0.002466461296374208,-1.80855864341,13.799811714936363
-0.994439293871445,-2.3677126044558214,-0.025885569958301435,-0.002464133942807501,-1.80685208697,13.7627130291
-0.9917723567774182,-2.361362754231948,-0.025936071705869625,-0.0024618305164126526,-1.80516307538,13.725682092427274
-0.9891054196833913,-2.3550129040080745,-0.025936071705869625,-0.002459550843145103,-1.80349148102,13.725682092427274
-0.9864384825893646,-2.3486630537842017,-0.02598645040702699,-0.0024572941009504807,-1.80183670111,13.688741380827274
-0.9837715454953377,-2.342313203560328,-0.02598645040702699,-0.0024550595602381414,-1.80019820067,13.688741380827274
-0.9811046084013109,-2.3359633533364543,-0.026036666323682185,-0.0024528467687404405,-1.79857564807,13.651920032672729
-0.978437671307284,-2.329613503112581,-0.026036666323682185,-0.0024506553011651383,-1.79696873146,13.651920032672729
-0.9757707342132572,-2.323263652888708,-0.026086635446289055,-0.0024484849526191575,-1.7953773006,13.615279648845451
-0.9731037971192305,-2.3169138026648346,-0.026086635446289055,-0.002446335917276329,-1.79380149787,13.615279648845451
-0.9704368600252036,-2.310563952440961,-0.026136169508529487,-0.0024442082480919123,-1.7922413621,13.578958277600002
-0.9677699229311767,-2.3042141022170877,-0.026185467173411203,-0.002442101623979472,-1.79069665785,13.542810247200002
-0.9651029858371498,-2.297864251993214,-0.026185467173411203,-0.0024400157928048762,-1.78916720024,13.542810247200002
-0.9624360487431232,-2.2915144017693407,-0.026234831816523592,-0.002437950725342494,-1.78765296784,13.50661310430909
-0.9597691116490963,-2.2851645515454675,-0.026234831816523592,-0.0024359064907491946,-1.78615401136,13.50661310430909
-0.9571021745550694,-2.278814701321594,-0.026284114531131216,-0.0024338829603121944,-1.78467023642,13.470476036354546
-0.9544352374610425,-2.2724648510977206,-0.026284114531131216,-0.00243187995672752,-1.78320151301,13.470476036354546
-0.9517683003670158,-2.2661150008738473,-0.026333156989773752,-0.002429897535405221,-1.78174788176,13.43451513860909
-0.949101363272989,-2.259765150649974,-0.026333156989773752,-0.0024279355693099516,-1.78030924952,13.43451513860909
-0.9464344261789621,-2.2534153004261004,-0.02638196851363316,-0.0024259936949828876,-1.77888534978,13.398723576218181
-0.9437674890849352,-2.2470654502022267,-0.026430504928838694,-0.00242407158281402,-1.77747594085,13.363133740136364
-0.9411005519909084,-2.2407155999783535,-0.026430504928838694,-0.0024221690692189197,-1.77608090278,13.363133740136364
-0.9384336148968817,-2.23436574975448,-0.026478834104684736,-0.0024202860180386095,-1.77470013573,13.327695864490908
-0.9357666778028548,-2.228015899530607,-0.026478834104684736,-0.002418422173102192,-1.77333345186,13.327695864490908
-0.933099740708828,-2.2216660493067333,-0.026527091759439823,-0.0024165775108573283,-1.7719808339,13.292310432436363
-0.9304328036148011,-2.2153161990828596,-0.026527091759439823,-0.00241475233328401,-1.77064250328,13.292310432436363
-0.9277658665207742,-2.2089663488589864,-0.02657522352513812,-0.002412946742310543,-1.76931853474,13.257017309854547
-0.9250989294267475,-2.202616498635113,-0.02657522352513812,-0.0024111606717939936,-1.76800887978,13.257017309854547
-0.9224319923327207,-2.19626664841124,-0.026623239127667078,-0.0024093943190312307,-1.76671368307,13.221809365136362
-0.9197650552386938,-2.189916798187366,-0.02667116171761108,-0.00240764793248784,-1.7654331268,13.186669622872726
-0.9170981181446669,-2.183566947963493,-0.026500156283352352,-0.0024059214670638877,-1.7641671779,13.3120611531
-0.9144311810506403,-2.1772170977396197,-0.026718973255777694,-0.00240421486875401,-1.76291579677,13.151611310490908
-0.9117642439566134,-2.170867247515746,-0.026718973255777694,-0.002402528472691492,-1.76167922915,13.151611310490908
-0.9090973068625865,-2.1645173972918728,-0.026766571930253488,-0.002400862682375499,-1.76045777091,13.116709082645452
-0.9064303697685596,-2.158167547067999,-0.026766571930253488,-0.0023992176372926127,-1.75925152433,13.116709082645452
-0.9037634326745327,-2.151817696844126,-0.026814074216313172,-0.002397593497590556,-1.75806060684,13.081877532618183
-0.9010964955805061,-2.1454678466202526,-0.026814074216313172,-0.002395990476181384,-1.75688517456,13.081877532618183
-0.8984295584864792,-2.1391179963963793,-0.026861597557050754,-0.002394408718129505,-1.75572533386,13.047030544027274
-0.8957626213924523,-2.1327681461725057,-0.026861597557050754,-0.0023928484317647,-1.7545812375,13.047030544027274
-0.8930956842984255,-2.126418295948632,-0.026909086666545578,-0.0023913100668179997,-1.75345321525,13.012208655854545
-0.8904287472043987,-2.1200684457247587,-0.02695654662187213,-0.00238979437479586,-1.75234181816,12.977408145281817
