tag,stage,end_time,stable,objective,mae,cp_mae,cf_mae,penalty,runtime_minutes,amplitude,chi0,chi_width,y_peak,y_width,notes
mlpass1_baseline_sst_720,baseline,720,True,0.25971838925651947,0.1604051333682995,0.16763773021009792,0.0008080283122728354,0.0,3.412295619646708,0.0,,,,,baseline continuation
mlpass1_baseline_sst_800,baseline,800,True,0.24958697384922712,0.1547381027802645,0.16417879658978082,0.0007681825222876493,0.0,5.691392548878988,0.0,,,,,baseline continuation
mlpass1_opt_001,cheap,720,True,0.2631906114787417,0.1604051333682995,0.16763773021009792,0.0008080283122728354,0.003472222222222223,3.2953333497047423,0.25,4.0,1.0,0.015,0.01,stable
mlpass1_opt_002,cheap,720,True,0.260273944812075,0.1604051333682995,0.16763773021009792,0.0008080283122728354,0.0005555555555555557,2.753856166203817,0.1,3.0000000000000004,1.0,0.012,0.01,stable
mlpass1_opt_003,cheap,720,True,0.26652394481207503,0.1604051333682995,0.16763773021009792,0.0008080283122728354,0.006805555555555557,2.908456599712372,0.35,6.0,1.0,0.015,0.01,stable
mlpass1_opt_004,cheap,720,True,0.2631906114787417,0.1604051333682995,0.16763773021009792,0.0008080283122728354,0.003472222222222223,3.498344027996063,0.25,7.999999999999998,1.0,0.02,0.01,stable
mlpass1_opt_005,cheap,720,True,0.2598572781454084,0.1604051333682995,0.16763773021009792,0.0008080283122728354,0.00013888888888888883,3.0859113017718,0.04999999999999999,3.4943218589451948,1.0,0.01633333333333333,0.01,stable
mlpass1_opt_006,cheap,720,True,0.25971838925651947,0.1604051333682995,0.16763773021009792,0.0008080283122728354,0.0,2.7393730521202087,0.0,2.6666666666666665,1.0,0.017,0.01,stable
mlpass1_full_01,full,800,True,0.24958697384922712,0.1547381027802645,0.16417879658978082,0.0007681825222876493,0.0,5.699594084421793,0.0,2.6666666666666665,1.0,0.017,0.01,stable
mlpass1_full_02,full,800,True,0.249725862738116,0.1547381027802645,0.16417879658978082,0.0007681825222876493,0.00013888888888888883,8.960148433844248,0.04999999999999999,3.4943218589451948,1.0,0.01633333333333333,0.01,stable
