x_over_c,Cf_exp,Cf_uncertainty,Cf_cfd,Cf_error
-0.07,0.00123,9e-05,0.0016995074839296536,0.0004695074839296536
-0.06,0.00106,4e-05,0.0016374851059071092,0.0005774851059071092
-0.05,0.00096,3e-05,0.001565968796369094,0.000605968796369094
-0.04,0.00085,3e-05,0.0014844533300921023,0.0006344533300921023
-0.03,0.00072,2e-05,0.0013848263996901508,0.0006648263996901507
-0.02,0.00056,3e-05,0.0012722790303527872,0.0007122790303527872
-0.01,0.00044,3e-05,0.0011035229768056507,0.0006635229768056506
0.0,0.00035,2e-05,0.0009986229004521584,0.0006486229004521583
0.01,0.00055,8e-05,0.0009362264560234732,0.00038622645602347315
0.02,0.00078,7e-05,0.000973011212607252,0.000193011212607252
0.03,0.00106,0.00014,0.0010225362138435111,-3.7463786156488816e-05
0.07,0.00351,0.00054,0.0013043615675002265,-0.0022056384324997736
0.08,0.00393,0.00037,0.0013866644404819295,-0.0025433355595180706
0.09,0.00447,0.00044,0.0014744760547990789,-0.002995523945200921
0.1,0.00483,0.00026,0.001599377348159351,-0.003230622651840649
0.11,0.00444,0.00026,0.0016985732715317408,-0.0027414267284682596
0.12,0.00435,0.00044,0.0018023171362155739,-0.002547682863784426
0.13,0.00444,0.00032,0.0019103830895841245,-0.0025296169104158757
0.14,0.00443,0.00026,0.0020227335456635123,-0.0024072664543364876
0.15,0.00468,0.00029,0.002139158403514167,-0.0025408415964858332
0.16,0.00499,0.0003,0.002300731820123953,-0.0026892681798760467
0.17,0.00483,0.00029,0.0024266242128547764,-0.0024033757871452237
0.18,0.0047,0.00029,0.002555905305140533,-0.0021440946948594673
0.19,0.00466,0.0003,0.0026885313337892875,-0.0019714686662107126
0.2,0.00467,0.00033,0.002870466750997769,-0.0017995332490022306
0.21,0.00484,0.00107,0.0030108675677607065,-0.0018291324322392932
0.3,0.0061,0.00055,0.004474917488941515,-0.0016250825110584854
0.31,0.00621,0.00039,0.004698810974449053,-0.0015111890255509472
0.32,0.00614,0.00023,0.004866934547626662,-0.0012730654523733379
0.33,0.00619,0.00024,0.005039623418034927,-0.0011503765819650732
