x_over_c,Cp_exp,Cp_cfd,Cp_error
-0.80454,-0.0132,-0.006508604384847565,0.006691395615152435
-0.74239,-0.0102,-0.006783209965323295,0.0034167900346767054
-0.67907,-0.0091,-0.0068655980625295645,0.002234401937470436
-0.61762,-0.0062,-0.006650547859911299,-0.0004505478599112992
-0.55646,-0.0012,-0.006057671929407207,-0.0048576719294072075
-0.49366,0.006,-0.004880676317694282,-0.010880676317694283
-0.46311,0.0088,-0.0037818880379822868,-0.012581888037982287
-0.4319,0.0135,-0.0022939007305114835,-0.015793900730511484
-0.40088,0.0189,-0.0003171742751877059,-0.019217174275187706
-0.36953,0.0263,0.0013321563254609962,-0.024967843674539004
-0.33927,0.0335,0.004413885996459517,-0.029086114003540484
-0.30847,0.0426,0.008389012192253386,-0.03421098780774661
-0.27634,0.0538,0.011646639654960272,-0.04215336034503973
-0.2462,0.066,0.017654026973564413,-0.04834597302643559
-0.21497,0.0811,0.025326086656835018,-0.05577391334316499
-0.18383,0.0992,0.031588564028738476,-0.06761143597126151
-0.15376,0.1191,0.043139062510527765,-0.07596093748947223
-0.12212,0.1447,0.057968683789856056,-0.08673131621014393
-0.09025,0.1739,0.0771260388949013,-0.0967739611050987
-0.04586,0.2257,0.11207950948131677,-0.11362049051868324
-0.03151,0.2442,0.12316196769883438,-0.12103803230116562
-0.01647,0.2649,0.13508935268544658,-0.12981064731455344
-0.00189,0.2868,0.1646051820675979,-0.12219481793240211
0.01228,0.3039,0.1689024524313157,-0.1349975475686843
0.02711,0.3084,0.18008097549409954,-0.12831902450590046
0.04168,0.2965,0.18621620082733145,-0.11028379917266853
0.05692,0.2586,0.1880832530467811,-0.07051674695321888
0.07094,0.1842,0.1869842625995844,0.0027842625995843917
0.08573,0.0728,0.18211026519826087,0.10931026519826087
0.10021,-0.0623,0.1739482548724513,0.2362482548724513
0.11471,-0.1726,0.16443230328405664,0.33703230328405664
0.12876,-0.2504,0.1486584949473411,0.39905849494734114
0.15859,-0.3869,0.10948322680940249,0.4963832268094025
0.17271,-0.4647,0.08112192580897654,0.5458219258089765
0.18734,-0.5173,0.05476087791041442,0.5720608779104144
0.20189,-0.5604,0.01748075593226584,0.5778807559322658
0.21721,-0.5963,-0.02539802873410725,0.5709019712658928
0.23077,-0.6202,-0.07356480921403837,0.5466351907859616
0.24591,-0.641,-0.12600907717502377,0.5149909228249763
0.26072,-0.6602,-0.18468047306753924,0.4755195269324608
0.2747,-0.6786,-0.23635078048990862,0.44224921951009133
0.28942,-0.6915,-0.30396821708014193,0.38753178291985807
0.30461,-0.708,-0.375991516016349,0.33200848398365096
0.31883,-0.7221,-0.46849856850960986,0.2536014314903901
0.33324,-0.7372,-0.536001374050201,0.20119862594979898
0.34839,-0.7557,-0.6210356133730396,0.13466438662696045
0.36408,-0.7578,-0.7078394179630285,0.04996058203697151
0.37742,-0.7796,-0.7803053746682399,-0.0007053746682399442
0.39194,-0.7905,-0.8685595405334916,-0.07805954053349162
0.40639,-0.8021,-0.9536232911802424,-0.15152329118024233
0.42087,-0.8173,-1.0177470010855725,-0.20044700108557245
