x_m,y_m,tau_uv_m2s2
0.273,0.0,0.032807815384153345
0.273,0.001454279886548117,0.02727624513487716
0.273,0.002908559773096234,0.004520793010638412
0.273,0.004362839659644351,-0.000548471210590072
0.273,0.005817119546192468,-0.0032129322524432225
0.273,0.007271399432740585,-0.00423073467727854
0.273,0.008725679319288701,-0.004927587356389128
0.273,0.010179959205836819,-0.004627840101388193
0.273,0.011634239092384936,-0.004405431916990625
0.273,0.013088518978933053,-0.004064870067381496
0.273,0.01454279886548117,-0.003215408366992211
0.273,0.015997078752029287,-0.0027791008749814645
0.273,0.017451358638577403,-0.0023870975914635976
0.273,0.018905638525125522,-0.0020519618068646777
0.273,0.020359918411673637,-0.0017400677553793035
0.273,0.021814198298221756,-0.0014405224124018606
0.273,0.02326847818476987,-0.001139086272806958
0.273,0.024722758071317987,-0.0008282521203192008
0.273,0.026177037957866106,-0.0005145572752568844
0.273,0.02763131784441422,-0.0002240972581830286
0.273,0.02908559773096234,-1.7602684861724516e-05
0.273,0.030539877617510456,1.8674265632104123e-05
0.273,0.031994157504058575,-0.00028128484626952925
0.273,0.03344843739060669,-0.0013542095091432565
0.273,0.034902717277154806,-0.003930396185696578
0.273,0.03635699716370292,-0.0077599734818280175
0.273,0.037811277050251044,-0.014402762817364917
0.273,0.03926555693679916,-0.021587429545360446
0.273,0.040719836823347275,-0.0260937495364899
0.273,0.04217411670989539,-0.15772964497568434
0.273,0.04362839659644351,-4.636668409245202
0.273,0.04508267648299163,-2.354302127781706
0.273,0.04653695636953974,-1.492814223449936
0.273,0.04799123625608786,-1.0272938306590553
0.273,0.049445516142635974,-0.8082449844331093
0.273,0.0508997960291841,-0.6698540488460635
0.273,0.05235407591573221,-0.5463136349805316
0.273,0.05380835580228033,-0.4263593498927012
0.273,0.05526263568882844,-0.31023486924442967
0.273,0.056716915575376566,-0.19910531323509345
0.273,0.05817119546192468,-0.09124267502383476
0.273,0.059625475348472796,-0.01335924760821063
0.273,0.06107975523502091,0.0070560628918163466
0.273,0.06253403512156903,0.0053533116895269515
0.273,0.06398831500811715,0.0034769526692840953
0.273,0.06544259489466527,0.0032994961377158997
0.273,0.06689687478121338,0.003778935187270325
0.273,0.0683511546677615,0.004409819348535646
0.273,0.06980543455430961,0.005160023976035046
0.273,0.07125971444085773,0.0059674688663464235
0.273,0.07271399432740584,0.0067542025051223475
0.273,0.07416827421395397,0.007598021834242275
0.273,0.07562255410050209,0.008499217646750261
0.273,0.0770768339870502,0.00937872351942761
0.273,0.07853111387359832,0.010237725266256536
0.273,0.07998539376014643,0.011068542070527574
0.273,0.08143967364669455,0.011970171574213408
0.273,0.08289395353324266,0.012849259624725433
0.273,0.08434823341979078,0.013712714460163646
0.273,0.0858025133063389,0.014645561054106464
0.273,0.08725679319288702,0.015666616094410828
0.273,0.08871107307943514,0.016597253232299613
0.273,0.09016535296598326,0.017436919851585887
0.273,0.09161963285253137,0.018359150351988898
0.273,0.09307391273907949,0.019340900357330437
0.273,0.0945281926256276,0.020198552033569458
0.273,0.09598247251217572,0.021141165357721006
0.273,0.09743675239872383,0.022059020769330615
0.273,0.09889103228527195,0.022992554339138084
0.273,0.10034531217182008,0.023931987538674555
0.273,0.1017995920583682,0.024855065978130104
0.273,0.10325387194491631,0.02584188238182716
0.273,0.10470815183146442,0.02626794121872383
0.273,0.10616243171801254,0.026442125181866366
0.273,0.10761671160456066,0.026495161367286888
0.273,0.10907099149110877,0.026401257088876202
0.273,0.11052527137765689,0.0263914076330435
0.273,0.111979551264205,0.026199811087562377
0.273,0.11343383115075313,0.02579487016178787
0.273,0.11488811103730125,0.02534750472240329
0.273,0.11634239092384936,0.024906621397289604
0.273,0.11779667081039748,0.0246028683487073
0.273,0.11925095069694559,0.024431801143745605
0.273,0.12070523058349371,0.02431060148983983
0.273,0.12215951047004182,0.02410196282034579
0.273,0.12361379035658994,0.023736943329708562
0.273,0.12506807024313807,0.02326951043440654
0.273,0.12652235012968618,0.022768670983692257
0.273,0.1279766300162343,0.02227760716798817
0.273,0.12943090990278242,0.021806638440124513
0.273,0.13088518978933053,0.021336827374922752
0.273,0.13233946967587865,0.0208651968531057
0.273,0.13379374956242676,0.020400389019535527
0.273,0.13524802944897488,0.0199500897637307
0.273,0.136702309335523,0.01951168362476934
0.273,0.1381565892220711,0.019077172530090104
0.273,0.13961086910861922,0.018652757949154868
0.273,0.14106514899516734,0.018249486812851237
0.273,0.14251942888171545,0.017859366514186004
0.273,0.14397370876826357,0.0174692186383146
0.273,0.14542798865481169,0.01708539485944363
0.273,0.14688226854135983,0.016709920025952556
0.273,0.14833654842790794,0.016342754058753246
0.273,0.14979082831445606,0.01598386607446734
0.273,0.15124510820100417,0.01563308829511322
0.273,0.1526993880875523,0.015290358459140247
0.273,0.1541536679741004,0.014925291278019283
0.273,0.15560794786064852,0.014572452452047437
0.273,0.15706222774719664,0.014255094029232437
0.273,0.15851650763374475,0.013939137244711929
0.273,0.15997078752029287,0.0136309831048932
0.273,0.16142506740684098,0.013326507573344606
0.273,0.1628793472933891,0.012993495885223158
0.273,0.16433362717993721,0.01267342392621991
0.273,0.16578790706648533,0.012393915347805016
0.273,0.16724218695303344,0.012118321649560393
0.273,0.16869646683958156,0.011826851169356284
0.273,0.17015074672612968,0.01151911693484861
0.273,0.1716050266126778,0.011239389682411444
0.273,0.17305930649922593,0.010987937003464053
0.273,0.17451358638577405,0.01071773492802947
0.273,0.17596786627232217,0.010425364660965523
0.273,0.17742214615887028,0.010163441857492343
0.273,0.1788764260454184,0.009935278848911367
0.273,0.1803307059319665,0.009661169709182064
0.273,0.18178498581851463,0.009383459205894193
0.273,0.18323926570506274,0.009162807925127567
0.273,0.18469354559161086,0.008921629173442388
0.273,0.18614782547815897,0.008653328529704246
0.273,0.1876021053647071,0.00842502020531314
0.273,0.1890563852512552,0.008204817730363403
0.273,0.19051066513780332,0.007945631746531725
0.273,0.19196494502435144,0.007720785216516022
0.273,0.19341922491089955,0.007509307304346569
0.273,0.19487350479744767,0.007258986607918031
0.273,0.19632778468399578,0.007049187735766369
0.273,0.1977820645705439,0.006833931045889204
0.273,0.199236344457092,0.006592111834787334
0.273,0.20069062434364016,0.006414863758630562
0.273,0.20214490423018827,0.0061775161934262265
0.273,0.2035991841167364,0.005938636714358823
0.273,0.2050534640032845,0.005768693720492159
0.273,0.20650774388983262,0.005539153863648702
0.273,0.20796202377638073,0.0053488755940807
0.273,0.20941630366292885,0.0051395395984663046
0.273,0.21087058354947696,0.004915264711132263
0.273,0.21232486343602508,0.004744817972629553
0.273,0.2137791433225732,0.004527053054446863
0.273,0.2152334232091213,0.00435461505053716
0.273,0.21668770309566943,0.004140542430567121
0.273,0.21814198298221754,0.003928638547911673
0.273,0.21959626286876566,0.003758248006523842
0.273,0.22105054275531377,0.0035517308731074287
0.273,0.2225048226418619,0.0033797861331423557
0.273,0.22395910252841,0.0031768106487756026
0.273,0.22541338241495812,0.0030050595194653375
0.273,0.22686766230150626,0.002805453865183373
0.273,0.22832194218805438,0.0026334919018002364
0.273,0.2297762220746025,0.0024374577858655203
0.273,0.2312305019611506,0.0022454022198783773
0.273,0.23268478184769872,0.002072404255832034
0.273,0.23413906173424684,0.001881897414778081
0.273,0.23559334162079495,0.0017106177113709198
0.273,0.23704762150734307,0.0015242775650616998
0.273,0.23850190139389119,0.0013507225443700533
0.273,0.2399561812804393,0.001167953056817775
0.273,0.24141046116698742,0.0009946996330853757
0.273,0.24286474105353553,0.0008156301441365634
0.273,0.24431902094008365,0.0006385924782427073
0.273,0.24577330082663176,0.00046280158298051157
0.273,0.24722758071317988,0.00028824919592352103
0.273,0.248681860599728,0.00011621941347499162
0.273,0.25013614048627614,-6.495167314357583e-05
0.273,0.25159042037282425,-0.00023474010503207732
0.273,0.25304470025937237,-0.0004092400497400974
0.273,0.2544989801459205,-0.0005739969625594212
0.273,0.2559532600324686,-0.0007636386023402333
0.273,0.2574075399190167,-0.0009324679286945978
0.273,0.25886181980556483,-0.0011028087324389511
0.273,0.26031609969211295,-0.0012534289359077877
0.273,0.26177037957866106,-0.0014528458947910342
0.273,0.2632246594652092,-0.001655565558380687
0.273,0.2646789393517573,-0.001793291333059693
0.273,0.2661332192383054,-0.0019545922279737477
0.273,0.2675874991248535,-0.0021274943970428038
0.273,0.26904177901140164,-0.0023540468786554065
0.273,0.27049605889794975,-0.002499639090827172
0.273,0.27195033878449787,-0.0026380827511152984
0.273,0.273404618671046,-0.002769296764044687
0.273,0.2748588985575941,-0.003034802795154615
0.273,0.2763131784441422,-0.0032637925691107166
0.273,0.27776745833069033,-0.0033497613050912285
0.273,0.27922173821723845,-0.003444922045024645
0.273,0.28067601810378656,-0.003656756910206645
0.273,0.2821302979903347,-0.003998078042519187
0.273,0.2835845778768828,-0.004156882956180735
0.273,0.2850388577634309,-0.004166758389113471
0.273,0.286493137649979,-0.004183970848220864
0.273,0.28794741753652714,-0.004572349431285618
0.273,0.28940169742307525,-0.005025776778146896
0.273,0.29085597730962337,-0.005044478367048497
0.273,0.2923102571961715,-0.004924860736619145
0.273,0.29376453708271966,-0.004895656221674741
0.273,0.29521881696926777,-0.005593169547622373
0.273,0.2966730968558159,-0.006275958188023585
0.273,0.298127376742364,-0.006073450326931294
0.273,0.2995816566289121,-0.005684350822343771
0.273,0.30103593651546023,-0.005576874217241805
0.273,0.30249021640200835,-0.006434079847889827
0.273,0.30394449628855646,-0.0072371174307538436
0.273,0.3053987761751046,-0.006972557150539257
0.273,0.3068530560616527,-0.006438396492549866
0.273,0.3083073359482008,-0.006175080735507793
0.273,0.3097616158347489,-0.007324382871454175
0.273,0.31121589572129704,-0.008497119219591932
0.273,0.31267017560784516,-0.008111203978474466
0.273,0.3141244554943933,-0.007065096309228396
0.273,0.3155787353809414,-0.006387095893964584
0.273,0.3170330152674895,-0.004283822681004617
0.273,0.3184872951540376,-0.0014113598306321421
0.273,0.31994157504058574,-0.0006508352419685705
0.273,0.32139585492713385,-0.0030358225997523997
0.273,0.32285013481368197,-0.005780953395573626
0.273,0.3243044147002301,-0.00239907390147048
0.273,0.3257586945867782,0.00992200154495152
0.273,0.3272129744733263,0.019391104298017086
0.273,0.32866725435987443,0.11262807184501587
0.273,0.33012153424642254,0.24287902485739368
0.273,0.33157581413297066,0.2620738929293847
0.273,0.3330300940195188,0.25106745649630535
0.273,0.3344843739060669,0.23621897950655185
0.273,0.335938653792615,0.22198533715940907
0.273,0.3373929336791631,0.20913977984035362
0.273,0.33884721356571124,0.197589086971258
0.273,0.34030149345225935,0.18750339373185762
0.273,0.34175577333880747,0.17856630403744683
0.273,0.3432100532253556,0.16931378509762218
0.273,0.3446643331119037,0.15940672241054318
0.273,0.34611861299845187,-1.1670675284715541
0.273,0.347572892885,-3.834215749469749
