x_m,x_over_c,Cp,Cf,tau_w_m2s2,p_wall_m2s2
-1.3464749902829865,-3.205892834007111,0.0,-0.0051593407182440616,-3.78314075473,30.53635082049091
-1.3438080531889596,-3.199542983783237,-0.01103051602406462,-0.005637056143471522,-4.13343060629,22.448109125427273
-1.3411411160949327,-3.1931931335593635,-0.01103051602406462,-0.005679932031985904,-4.16486980174,22.448109125427273
-1.338474179000906,-3.1868432833354907,-0.014790377856189148,-0.00540829701156683,-3.96569057085,19.691150958472726
-1.3358072419068792,-3.180493433111617,-0.014790377856189148,-0.005042493885910941,-3.69746158803,19.691150958472726
-1.3331403048128523,-3.174143582887744,-0.015532962200522684,-0.004684322504089611,-3.43482866151,19.146643190854544
-1.3304733677188256,-3.1677937326638705,-0.015532962200522684,-0.00436759794945998,-3.20258705622,19.146643190854544
-1.3278064306247988,-3.1614438824399973,-0.016718000414065914,-0.004106238500478343,-3.01094249598,18.27770147787273
-1.3251394935307719,-3.1550940322161236,-0.016718000414065914,-0.0039003360222458457,-2.85996234184,18.27770147787273
-1.322472556436745,-3.14874418199225,-0.017874121431903367,-0.003742947101555313,-2.74455526316,17.42996360227273
-1.3198056193427181,-3.1423943317683767,-0.018736247226810315,-0.0036247829462244317,-2.65791015554,16.797800810836364
-1.3171386822486912,-3.136044481544503,-0.018736247226810315,-0.0035360957045142884,-2.59287930434,16.797800810836364
-1.3144717451546646,-3.12969463132063,-0.019377407607057168,-0.0034681489022386994,-2.54305659813,16.327663229836364
-1.3118048080606377,-3.1233447810967565,-0.019377407607057168,-0.0034144320749583536,-2.5036681705,16.327663229836364
-1.3091378709666108,-3.116994930872883,-0.01989312324046316,-0.003370184489059481,-2.47122316354,15.949509326627272
-1.3064709338725842,-3.11064508064901,-0.01989312324046316,-0.0033321275545593956,-2.44331751672,15.949509326627272
-1.3038039967785573,-3.1042952304251363,-0.020274716320127083,-0.003298206943726001,-2.41844487266,15.669702194236363
-1.3011370596845304,-3.097945380201263,-0.020274716320127083,-0.003267025359827783,-2.39558064886,15.669702194236363
-1.2984701225905035,-3.0915955299773894,-0.02055892591538998,-0.003237674791564525,-2.3740590365,15.461302524309092
-1.2958031854964767,-3.085245679753516,-0.020797865705310857,-0.0032096753208989163,-2.35352813064,15.286097414481816
-1.2931362484024498,-3.0788958295296425,-0.020797865705310857,-0.0031827590225029165,-2.33379147222,15.286097414481816
-1.2904693113084231,-3.0725459793057697,-0.02098836262277123,-0.0031567577270969864,-2.31472574935,15.146413549536364
-1.2878023742143963,-3.066196129081896,-0.02098836262277123,-0.0031316039142978516,-2.296281452,15.146413549536364
-1.2851354371203694,-3.0598462788580223,-0.021156571832694208,-0.003107269952533922,-2.27843831903,15.023072380163637
-1.2824685000263427,-3.0534964286341495,-0.021156571832694208,-0.0030836971765013928,-2.26115333349,15.023072380163637
-1.2798015629323158,-3.047146578410276,-0.021322006025763753,-0.0030608147482102197,-2.24437455268,14.901766021036364
-1.277134625838289,-3.0407967281864026,-0.021322006025763753,-0.0030471179403363468,-2.23433122449,14.901766021036364
-1.274467688744262,-3.034446877962529,-0.02147003132185876,-0.003034274489257228,-2.22491362913,14.793224918409093
-1.2718007516502352,-3.028097027738655,-0.02147003132185876,-0.003021250932022112,-2.21536396904,14.793224918409093
-1.2691338145562083,-3.021747177514782,-0.021609870264276035,-0.003008217524167741,-2.20580708588,14.69068654557273
-1.2664668774621817,-3.0153973272909087,-0.02175290951657946,-0.002995315372994999,-2.19634644806,14.585801511909095
-1.2637999403681548,-3.0090474770670355,-0.02175290951657946,-0.002982630220501445,-2.1870449268,14.585801511909095
-1.261133003274128,-3.0026976268431618,-0.021885986786861246,-0.0029702229139166774,-2.17794713897,14.488221206163638
-1.258466066180101,-2.996347776619288,-0.021885986786861246,-0.00295813757258164,-2.16908543554,14.488221206163638
-1.2557991290860744,-2.9899979263954153,-0.022011204911128256,-0.0029463839380956696,-2.16046695964,14.396403701754547
-1.2531321919920475,-2.9836480761715416,-0.022011204911128256,-0.0029349496125728844,-2.15208262039,14.396403701754547
-1.2504652548980206,-2.9772982259476684,-0.022136370722980688,-0.0029238264637465126,-2.14392645472,14.304624555972726
-1.2477983178039938,-2.9709483757237947,-0.022136370722980688,-0.0029130107488539196,-2.13599571821,14.304624555972726
-1.2451313807099669,-2.9645985254999214,-0.0222550458558477,-0.0029024946533735283,-2.12828468078,14.217604768709093
-1.24246444361594,-2.9582486752760477,-0.022364524612343215,-0.0028922729593643727,-2.12078951632,14.137328320981817
-1.2397975065219133,-2.951898825052175,-0.022364524612343215,-0.002882343629255905,-2.11350873076,14.137328320981817
-1.2371305694278865,-2.9455489748283012,-0.022469460259274095,-0.0028726997462975297,-2.10643725232,14.060383156045454
-1.2344636323338596,-2.9391991246044276,-0.022469460259274095,-0.002863327155751605,-2.09956470189,14.060383156045454
-1.231796695239833,-2.9328492743805548,-0.022569195624945648,-0.002854213658147411,-2.09288213408,13.987251151945452
-1.229129758145806,-2.926499424156681,-0.022569195624945648,-0.0028453531824638033,-2.08638509725,13.987251151945452
-1.2264628210517792,-2.920149573932808,-0.022657063671666724,-0.0028367380822368034,-2.08006798455,13.922820984072727
-1.2237958839577523,-2.913799723708934,-0.022657063671666724,-0.0028283557949596353,-2.07392158439,13.922820984072727
-1.2211289468637254,-2.9074498734850605,-0.02274418077852897,-0.002820190970903246,-2.06793464142,13.858941450736365
-1.2184620097696985,-2.901100023261187,-0.022841219573646498,-0.0028122273467342095,-2.06209523038,13.78778673530909
-1.2157950726756719,-2.894750173037314,-0.022841219573646498,-0.002804450440573302,-2.05639273228,13.78778673530909
-1.213128135581645,-2.8884003228134407,-0.022939013049994447,-0.002796849516072391,-2.05081927458,13.716078641945455
-1.2104611984876181,-2.882050472589567,-0.022939013049994447,-0.0027894162008454022,-2.04536871814,13.716078641945455
-1.2077942613935915,-2.8757006223656942,-0.023033072220147978,-0.0027821442495811516,-2.04003648352,13.64710876780909
-1.2051273242995646,-2.8693507721418205,-0.023033072220147978,-0.002775027790410093,-2.03481826511,13.64710876780909
-1.2024603872055377,-2.863000921917947,-0.02312669750631225,-0.002768061934128458,-2.02971047785,13.578457043663635
-1.1997934501115108,-2.8566510716940736,-0.02312669750631225,-0.002761245011274983,-2.02471189759,13.578457043663635
-1.197126513017484,-2.8503012214702,-0.023219382357280813,-0.0027545751336530465,-2.01982113979,13.5104949035
-1.194459575923457,-2.8439513712463267,-0.02330784803601052,-0.0027480478191447646,-2.01503491789,13.445626515681818
-1.1917926388294304,-2.8376015210224534,-0.02330784803601052,-0.0027416580300452563,-2.01034953794,13.445626515681818
-1.1891257017354036,-2.83125167079858,-0.023393431434679885,-0.0027354013449653975,-2.00576175791,13.382871589981816
-1.1864587646413767,-2.8249018205747065,-0.023393431434679885,-0.0027292740046136396,-2.00126882126,13.382871589981816
-1.18379182754735,-2.8185519703508333,-0.02347838273466127,-0.0027232716500752456,-1.99686753177,13.32058015728182
-1.1811248904533231,-2.81220212012696,-0.02347838273466127,-0.0027173874938715504,-1.99255291245,13.32058015728182
-1.1784579533592963,-2.8058522699030863,-0.023561610617657828,-0.002711613952831224,-1.98831940286,13.25955243818182
-1.1757910162652694,-2.799502419679213,-0.023561610617657828,-0.0027059446026071222,-1.98416229228,13.25955243818182
-1.1731240791712425,-2.7931525694553394,-0.023642116790231624,-0.0027003742006421996,-1.98007773655,13.200520441827274
-1.1704571420772156,-2.7868027192314657,-0.023721147555944243,-0.0026949002598121675,-1.97606391196,13.142570303045455
-1.167790204983189,-2.780452869007593,-0.023721147555944243,-0.0026895221178694336,-1.97212033291,13.142570303045455
-1.165123267889162,-2.7741030187837192,-0.023798734785870156,-0.002684237761368572,-1.96824552302,13.085678652036364
-1.1624563307951352,-2.767753168559846,-0.023798734785870156,-0.002679044691975089,-1.96443765036,13.085678652036364
