x_over_c,Cp_exp,Cp_pyfr,cfd_x_over_c,dx_over_c,abs_error
-0.80454,-0.0132,nan,-0.8045376056716556,2.3943283444793906e-06,nan
-0.74239,-0.0102,nan,-0.7424084203583854,-1.8420358385395907e-05,nan
-0.67907,-0.0091,nan,-0.6791220534415472,-5.2053441547239565e-05,nan
-0.61762,-0.0062,nan,-0.6176444036620004,-2.4403662000405113e-05,nan
-0.55646,-0.0012,nan,-0.5564655576433455,-5.557643345532881e-06,nan
-0.49366,0.006,nan,-0.4936725433383669,-1.2543338366921564e-05,nan
-0.46311,0.0088,nan,-0.46311127288000925,-1.2728800092287607e-06,nan
-0.4319,0.0135,nan,-0.43188610247203285,1.3897527967154932e-05,nan
-0.40088,0.0189,nan,-0.40087692794345675,3.0720565432629243e-06,nan
-0.36953,0.0263,nan,-0.36951869371391477,1.1306286085255302e-05,nan
-0.33927,0.0335,nan,-0.33926566441853845,4.335581461567539e-06,nan
-0.30847,0.0426,nan,-0.3084656028520493,4.397147950696567e-06,nan
-0.27634,0.0538,nan,-0.27635195070788976,-1.195070788978514e-05,nan
-0.2462,0.066,nan,-0.2462006573166166,-6.573166166090605e-07,nan
-0.21497,0.0811,nan,-0.21494958727132707,2.0412728672924985e-05,nan
-0.18383,0.0992,nan,-0.18381125160626002,1.874839373997017e-05,nan
-0.15376,0.1191,nan,-0.1538099100192388,-4.991001923879135e-05,nan
-0.12212,0.1447,nan,-0.12215280107089452,-3.280107089451145e-05,nan
-0.09025,0.1739,nan,-0.0902374703732748,1.2529626725196752e-05,nan
-0.04586,0.2257,nan,-0.0458648871807825,-4.88718078250211e-06,nan
-0.03151,0.2442,nan,-0.031520574841470944,-1.0574841470940843e-05,nan
-0.01647,0.2649,nan,-0.016460065463823934,9.93453617606499e-06,nan
-0.00189,0.2868,nan,-0.0018726224966702008,1.7377503329799125e-05,nan
0.01228,0.3039,nan,0.012308848090469837,2.884809046983794e-05,nan
0.02711,0.3084,nan,0.027064202974239986,-4.579702576001238e-05,nan
0.04168,0.2965,nan,0.041687878824415665,7.878824415663566e-06,nan
0.05692,0.2586,nan,0.05692116295297941,1.1629529794096594e-06,nan
0.07094,0.1842,nan,0.07093511078329313,-4.889216706868704e-06,nan
0.08573,0.0728,nan,0.0857700017236528,4.000172365280219e-05,nan
0.10021,-0.0623,nan,0.10020889874015536,-1.1012598446352717e-06,nan
0.11471,-0.1726,nan,0.11473647540523893,2.6475405238923777e-05,nan
0.12876,-0.2504,nan,0.128782984046709,2.2984046708973693e-05,nan
0.15859,-0.3869,nan,0.15859192325955346,1.923259553449075e-06,nan
0.17271,-0.4647,nan,0.17273489918027607,2.4899180276066746e-05,nan
0.18734,-0.5173,nan,0.18733434438232394,-5.655617676070257e-06,nan
0.20189,-0.5604,nan,0.20188860122173555,-1.3987782644386826e-06,nan
0.21721,-0.5963,nan,0.21721315791919119,3.15791919119901e-06,nan
0.23077,-0.6202,nan,0.23078560119583494,1.5601195834935577e-05,nan
