n,t,i,p,u,v
1,0.0,1,-,-,-
2,0.0,2,-,-,-
3,0.0,3,nan,nan,nan
4,0.0,4,nan,nan,nan
5,0.0,5,nan,nan,nan
6,0.0,6,nan,nan,nan
7,0.0,7,nan,nan,nan
8,0.0,8,nan,nan,nan
9,0.01,1,-,-,-
10,0.01,2,-,-,-
11,0.01,3,nan,nan,nan
12,0.01,4,nan,nan,nan
13,0.01,5,nan,nan,nan
14,0.01,6,nan,nan,nan
15,0.01,7,nan,nan,nan
16,0.01,8,nan,nan,nan
17,0.02,1,-,-,-
18,0.02,2,-,-,-
19,0.02,3,nan,nan,nan
20,0.02,4,nan,nan,nan
21,0.02,5,nan,nan,nan
22,0.02,6,nan,nan,nan
23,0.02,7,nan,nan,nan
24,0.02,8,nan,nan,nan
25,0.03,1,-,-,-
26,0.03,2,-,-,-
27,0.03,3,nan,nan,nan
28,0.03,4,nan,nan,nan
29,0.03,5,nan,nan,nan
30,0.03,6,nan,nan,nan
31,0.03,7,nan,nan,nan
32,0.03,8,nan,nan,nan
33,0.04,1,-,-,-
34,0.04,2,-,-,-
35,0.04,3,nan,nan,nan
36,0.04,4,nan,nan,nan
37,0.04,5,nan,nan,nan
38,0.04,6,nan,nan,nan
39,0.04,7,nan,nan,nan
40,0.04,8,nan,nan,nan
41,0.05,1,-,-,-
42,0.05,2,-,-,-
43,0.05,3,nan,nan,nan
44,0.05,4,nan,nan,nan
45,0.05,5,nan,nan,nan
46,0.05,6,nan,nan,nan
47,0.05,7,nan,nan,nan
48,0.05,8,nan,nan,nan
49,0.060000000000000005,1,-,-,-
50,0.060000000000000005,2,-,-,-
51,0.060000000000000005,3,nan,nan,nan
52,0.060000000000000005,4,nan,nan,nan
53,0.060000000000000005,5,nan,nan,nan
54,0.060000000000000005,6,nan,nan,nan
55,0.060000000000000005,7,nan,nan,nan
56,0.060000000000000005,8,nan,nan,nan
57,0.07,1,-,-,-
58,0.07,2,-,-,-
59,0.07,3,nan,nan,nan
60,0.07,4,nan,nan,nan
61,0.07,5,nan,nan,nan
62,0.07,6,nan,nan,nan
63,0.07,7,nan,nan,nan
64,0.07,8,nan,nan,nan
65,0.08,1,-,-,-
66,0.08,2,-,-,-
67,0.08,3,nan,nan,nan
68,0.08,4,nan,nan,nan
69,0.08,5,nan,nan,nan
70,0.08,6,nan,nan,nan
71,0.08,7,nan,nan,nan
72,0.08,8,nan,nan,nan
73,0.09,1,-,-,-
74,0.09,2,-,-,-
75,0.09,3,nan,nan,nan
76,0.09,4,nan,nan,nan
77,0.09,5,nan,nan,nan
78,0.09,6,nan,nan,nan
79,0.09,7,nan,nan,nan
80,0.09,8,nan,nan,nan
81,0.09999999999999999,1,-,-,-
82,0.09999999999999999,2,-,-,-
83,0.09999999999999999,3,nan,nan,nan
84,0.09999999999999999,4,nan,nan,nan
85,0.09999999999999999,5,nan,nan,nan
86,0.09999999999999999,6,nan,nan,nan
87,0.09999999999999999,7,nan,nan,nan
88,0.09999999999999999,8,nan,nan,nan
