n,t,i,rho,rhou,rhov,E
1,0.0,1,-,-,-,-
2,0.0,2,-,-,-,-
3,0.0,3,-,-,-,-
4,0.0,4,259.9445906049151,524435.028456939,14883.943705270036,75425690.6585143
5,0.0,5,255.6659950594757,508333.3435273941,15183.902223514642,74185129.83273889
6,0.0,6,251.79052418894932,492893.9971354436,15567.105258588792,73061032.03199941
7,0.0,7,248.25838233301633,478088.84142421826,15999.051796101152,72036375.93049845
8,0.0,8,245.0200937207465,463890.8717354574,16473.003147537333,71096223.42905854
9,0.0,9,242.02587958398527,450274.1465599399,16971.607068531914,70227486.9477905
10,0.0,10,239.23973507909113,437213.83244686667,17487.06064796884,69418920.38263531
11,0.0,11,236.62760633891406,424686.09330746526,18008.725316020962,68659627.98051064
12,0.0,12,234.15540239522048,412667.9038102745,18530.02938502676,67941832.37224343
13,0.0,13,231.79832176005343,401137.61449212325,19046.58233623997,67257487.59964633
14,0.0,14,229.53853106836164,390073.89683183463,19554.171526958162,66600555.888430156
15,0.0,15,227.35035052426517,379456.6506914153,20052.041664952554,65965605.54104426
16,0.0,16,225.22469519400306,369266.49280353583,20537.595411283917,65348152.02488239
17,0.0,17,223.15084033522353,359484.8966112789,21006.31250500274,64744530.04769816
18,0.0,18,221.1067083596625,350094.23060997966,21461.79919345988,64151643.61268489
19,0.0,19,219.12291071529756,341077.0759780983,21902.864219181753,63567051.87864561
20,0.0,20,217.14515215048118,332417.60041845485,22325.34701725782,62988805.5289851
21,0.0,21,215.1697928790869,324099.6266477469,22732.351826785292,62415383.4505845
22,0.0,22,213.20682093990024,316108.4761145446,23123.5713143234,61845580.7633693
23,0.0,23,211.25333023850115,308429.70494589617,23496.747381026038,61278639.23557979
24,0.0,24,209.3073513023494,301049.5409649534,23860.720300303503,60713812.021034166
25,5e-05,1,-,-,-,-
26,5e-05,2,-,-,-,-
27,5e-05,3,-,-,-,-
28,5e-05,4,206.75280597745535,283168.7816189236,25596.979477207413,59968924.74126207
29,5e-05,5,204.79983031095242,276855.6171263955,25908.93974268879,59402151.14646581
30,5e-05,6,202.85299596147036,270779.7233446276,26193.861513367,58837286.52101699
31,5e-05,7,200.91271593084227,264930.55127721815,26467.584019433787,58274660.46245651
32,5e-05,8,198.98238941116682,259298.0131416931,26725.857003006342,57714578.35218753
33,5e-05,9,197.06110164651074,253872.46007982251,26978.099337940766,57157398.02012886
34,5e-05,10,195.15272740304513,248644.65485156706,27207.541928459472,56603504.10904215
35,5e-05,11,193.25387819222107,243605.77194996653,27441.990203585225,56053280.77707131
36,5e-05,12,191.36930399260214,238747.39682723794,27658.51578630674,55507138.16175104
37,5e-05,13,189.50268735989275,234061.557360776,27854.716432102745,54965512.415659554
38,5e-05,14,187.6545949709881,229540.36598322587,28046.00772758003,54428776.03783546
39,5e-05,15,185.81641972787972,225176.72928145112,28243.83534086627,53897272.346393846
40,5e-05,16,184.00433447580625,220963.2539330861,28418.965559089025,53371407.69700995
41,5e-05,17,182.20942772043895,216893.72586598663,28589.648011504818,52851522.226347335
42,5e-05,18,180.43952510967625,212961.5571141319,28739.85209110071,52338091.937603064
43,5e-05,19,178.69147559015454,209160.3863869534,28887.754938970837,51831216.658731595
44,5e-05,20,176.9691757235465,205484.74708551582,29039.85166912199,51331263.10892203
45,5e-05,21,175.27074727594263,201929.1768905746,29174.633819731644,50838476.574922815
46,5e-05,22,173.59666873971165,198488.29223068067,29295.921670167412,50353115.868946
47,5e-05,23,171.9543525240718,195156.49725411474,29415.707394816418,49875389.44303767
48,5e-05,24,170.34700777004457,191930.82716065212,29533.499759741782,49405427.29438484
49,0.0001,1,-,-,-,-
50,0.0001,2,-,-,-,-
51,0.0001,3,-,-,-,-
52,0.0001,4,168.4408962951937,185285.93560260165,30596.089469074832,48856440.78557235
53,0.0001,5,166.87106227339694,182420.35092565068,30680.791249110807,48415444.46989935
54,0.0001,6,165.3264209683356,179638.74367072718,30776.4053594576,47982952.30982646
55,0.0001,7,163.80906063043892,176936.66205133763,30856.913554577855,47558968.98685436
56,0.0001,8,162.30656584424608,174312.35978526025,30929.473720073944,47143601.50092728
57,0.0001,9,160.8513704973258,171760.73939709965,30997.318619645404,46736791.77606597
58,0.0001,10,159.47921609929776,169279.886673534,31072.06391130698,46338483.17825592
59,0.0001,11,158.19640620568242,166866.34555202,31128.73427781582,45948625.01561933
60,0.0001,12,156.90659227410464,164517.1133328618,31190.058068265138,45567420.65327006
61,0.0001,13,155.71238351084602,162230.14103402532,31243.198214607033,45192786.01435904
62,0.0001,14,154.5127593393525,160002.77471311914,31295.82537310876,44829944.09784235
63,0.0001,15,153.3383576110528,157830.9491358902,31346.645699427605,44474938.20115841
64,0.0001,16,152.18329019634123,155714.52300000013,31394.13078080817,44125141.198667556
65,0.0001,17,151.04074700188403,153651.2167041304,31438.615230615655,43784865.119420886
66,0.0001,18,149.90353978253765,151640.33253466498,31475.6711265978,43452602.27669067
67,0.0001,19,148.7657063736119,149676.66485985104,31513.71868890156,43128050.23773117
68,0.0001,20,147.66089386342716,147757.43873146837,31546.984717908166,42810486.407237984
69,0.0001,21,146.56201328207246,145885.3511607548,31580.951525686716,42502543.79674763
70,0.0001,22,145.496835708826,144054.58494436136,31608.080442019644,42199922.09563012
71,0.0001,23,144.45980984845636,142265.4348934683,31639.33765952865,41905241.11797057
72,0.0001,24,143.4365537514004,140516.53485589757,31662.044753046037,41617611.72704646
73,0.00015000000000000001,1,-,-,-,-
74,0.00015000000000000001,2,-,-,-,-
75,0.00015000000000000001,3,-,-,-,-
76,0.00015000000000000001,4,143.27089271437592,137630.25992213906,32494.081051690824,41572622.4361262
77,0.00015000000000000001,5,142.36102175305814,136010.4265927182,32512.628147180116,41310411.880674176
78,0.00015000000000000001,6,141.45218785323812,134424.78568774028,32527.93553420644,41054578.639901675
79,0.00015000000000000001,7,140.57698360676827,132869.81223850435,32548.669157019318,40804727.30281507
80,0.00015000000000000001,8,139.70321326396711,131346.196965035,32560.989214870508,40561645.19568191
81,0.00015000000000000001,9,138.8786334433817,129852.91699200192,32582.10926693399,40323756.51289071
82,0.00015000000000000001,10,138.05545907761166,128388.76496329275,32593.680891212196,40091826.55903036
83,0.00015000000000000001,11,137.28347790666942,126950.96370767168,32599.37349911241,39865624.78344026
84,0.00015000000000000001,12,136.50636701521668,125541.21949475922,32619.952277507415,39644854.61435898
85,0.00015000000000000001,13,135.76051299739612,124157.69504079511,32627.549609149915,39429353.83170172
86,0.00015000000000000001,14,135.0234702905005,122799.86156838821,32635.899686277433,39219050.141797096
87,0.00015000000000000001,15,134.31947828822976,121466.59337766957,32648.972441403424,39013762.66331214
88,0.00015000000000000001,16,133.62664951110364,120156.98780239584,32662.39842220083,38813410.90559831
89,0.00015000000000000001,17,132.93290411411377,118870.04199097192,32666.016051691455,38617259.41562249
90,0.00015000000000000001,18,132.24443125797163,117603.41479486466,32674.298729308728,38427256.4905845
91,0.00015000000000000001,19,131.5818491982993,116360.54953075318,32682.224954444828,38240232.19899344
92,0.00015000000000000001,20,130.9249992237207,115138.70071236893,32692.185901563334,38058044.27086295
93,0.00015000000000000001,21,130.28640021088938,113936.65069026634,32699.69760815172,37880104.00078334
94,0.00015000000000000001,22,129.66412772167658,112754.63895597888,32708.378088807673,37706280.6657681
95,0.00015000000000000001,23,129.0573276970453,111592.45880380481,32725.422342064463,37536528.59007096
96,0.00015000000000000001,24,128.48130847567884,110448.02244461363,32719.87693816337,37370649.56567164
97,0.0002,1,-,-,-,-
98,0.0002,2,-,-,-,-
99,0.0002,3,-,-,-,-
100,0.0002,4,129.51101906480756,108934.70511871825,33529.334569689905,37660589.981118634
101,0.0002,5,128.96943996472854,107845.99237988985,33525.09132661895,37507279.5048608
102,0.0002,6,128.44804191798278,106773.82049522792,33539.61316259406,37359266.99479128
103,0.0002,7,127.9314192439705,105716.69168672078,33542.56577790536,37213119.20956013
104,0.0002,8,127.42711251137817,104675.9660471138,33555.946598292016,37070600.218592376
105,0.0002,9,126.9413945100905,103652.42328860833,33561.29338756294,36931166.924478374
106,0.0002,10,126.47322675769131,102640.15414380011,33577.204635808084,36794880.00486362
107,0.0002,11,126.00965131654266,101646.10169563838,33579.08034964168,36660991.791456215
108,0.0002,12,125.57011707201545,100665.48209921311,33586.95588265561,36531334.5160509
109,0.0002,13,125.1310040311032,99694.02444134267,33606.91313089122,36403254.005322255
110,0.0002,14,124.7236268951479,98737.66354522035,33598.3502224143,36278251.637528844
111,0.0002,15,124.30494495798776,97803.75241436782,33619.864089075425,36155309.93786082
112,0.0002,16,123.90407719057873,96853.10261440382,33616.90283795295,36036882.43272109
113,0.0002,17,123.46476328681011,95926.09104000621,33636.90861577475,35919001.33392782
114,0.0002,18,123.07172592391393,95107.76904389563,33638.74751091302,35804143.86575081
115,0.0002,19,122.7069336558726,94171.06778599584,33652.527476161864,35691155.139557794
116,0.0002,20,122.32420972004256,93284.61549408264,33660.01583749744,35582163.55086909
117,0.0002,21,121.91085179721226,92417.012600155,33675.32109600798,35473018.94703256
118,0.0002,22,121.55482922676296,91562.51697343178,33677.58706530301,35368704.94491015
119,0.0002,23,121.18261507244566,90710.7117935618,33697.11492366706,35265120.558631524
120,0.0002,24,120.83634823053238,89887.44564159599,33693.6045105202,35161656.617583506
