n,t,i,rho,rhou,rhov,E
1,0.0,1,-,-,-,-
2,0.0,2,-,-,-,-
3,0.0,3,-,-,-,-
4,0.0,4,247.47071520899922,472491.7168057963,16287.563477374824,71797188.32470371
5,0.0,5,241.7041484168279,445607.465188326,17305.177229688255,70121437.46170698
6,0.0,6,236.69070507578226,420858.8650126512,18369.452681059443,68663418.63671643
7,0.0,7,232.18162617749135,398068.1215961509,19427.491030880676,67353491.89508663
8,0.0,8,228.01413920984012,377071.4067282013,20449.053248637592,66140685.149137855
9,0.0,9,224.05066997442037,357718.1188465285,21418.13912043648,64988880.14260079
10,0.0,10,220.21310361418494,339869.2702347436,22326.087503465707,63873454.59104547
11,0.0,11,216.44527846206665,323397.47881154646,23172.111994662526,62778463.40053516
12,0.0,12,212.71368599352522,308185.4504711189,23955.582811594257,61694374.7083756
13,0.0,13,209.00177160850416,294125.4904233483,24676.834670495326,60616289.188289024
14,0.0,14,205.30303004149698,281118.74717195396,25341.1222382842,59542536.85335098
15,0.0,15,201.62091858389383,269074.5586638385,25948.884937653318,58473636.05060616
16,0.0,16,197.96334640810508,257909.82963273322,26506.605365972497,57411500.68649058
17,0.0,17,194.33161005644294,247548.4866236701,27018.24551086441,56358863.935260504
18,0.0,18,190.7450489482032,237920.90508248872,27488.551761954706,55318886.96801746
19,0.0,19,187.2144148122204,228963.4737535715,27909.05146758059,54294863.74085387
20,0.0,20,183.7476559351499,220618.07258785993,28298.85125793106,53289938.690120466
21,0.0001,1,-,-,-,-
22,0.0001,2,-,-,-,-
23,0.0001,3,-,-,-,-
24,0.0001,4,174.49550505947684,197990.8788145724,29992.382392751228,50608289.67238087
25,0.0001,5,171.4313327090009,191753.784399447,30247.719794698653,49720188.93632472
26,0.0001,6,168.4742757502113,185891.5911843283,30478.66949558161,48862689.71447645
27,0.0001,7,165.6208499120227,180373.91430660355,30692.021773913675,48036685.6875093
28,0.0001,8,162.87563982753454,175170.34145806936,30881.403817614642,47242741.438540414
29,0.0001,9,160.20558967544756,170256.36694503273,31054.705464096067,46481104.39601926
30,0.0001,10,157.67288062647015,165606.0546662448,31212.674024970962,45751729.94927523
31,0.0001,11,155.3194013770505,161201.03017801087,31355.016942413054,45054346.22041977
32,0.0001,12,153.1058549962131,157017.72539591425,31483.149837781864,44388463.59632476
33,0.0001,13,150.85594116879224,153041.03714381548,31601.265879027833,43753410.31157642
34,0.0001,14,148.75620762763089,149255.20476312484,31707.911000131917,43148375.36554762
35,0.0001,15,146.7769694659906,145644.88390561228,31805.61745769867,42572430.368096866
36,0.0001,16,144.86858064305488,142196.2666793621,31893.60908041266,42024564.57516001
37,0.0001,17,143.07208203155102,138896.2827676556,31974.692157014335,41503712.19597523
38,0.0001,18,141.37288279840183,135740.26772175243,32051.034231578215,41008711.75164083
39,0.0001,19,139.74316622779475,132711.43384954933,32119.709112801684,40538474.81215809
40,0.0001,20,138.19043488780576,129801.91855392265,32184.46276772115,40091842.25193046
41,0.0002,1,-,-,-,-
42,0.0002,2,-,-,-,-
43,0.0002,3,-,-,-,-
44,0.0002,4,135.57815266431103,122200.68332626429,33014.46522302792,39334084.31125948
45,0.0002,5,134.35012312004255,119713.31030076284,33062.92378247743,38978645.20178051
46,0.0002,6,133.17906037686802,117310.5593501458,33106.608716544426,38640922.77211913
47,0.0002,7,132.0891010944295,114987.35035123228,33155.965192368276,38319847.150750026
48,0.0002,8,131.01943201029476,112738.64248974298,33222.82105001973,38014495.39402344
49,0.0002,9,130.03064146310496,110560.43469543406,33265.67284035238,37724118.349058114
50,0.0002,10,129.06226489518986,108450.29092952098,33305.1609841801,37447929.90882456
51,0.0002,11,128.15357800690882,106402.59467602157,33374.82525568031,37185046.28470295
52,0.0002,12,127.27878175927707,104414.84637058563,33414.47452070058,36934876.23179646
53,0.0002,13,126.4621804292414,102484.85354124167,33456.81928038477,36696817.39688426
54,0.0002,14,125.6586308696614,100607.81962028598,33508.70944936966,36470089.82348397
55,0.0002,15,124.92173404459598,98785.82632817683,33560.41185799833,36254039.91743167
56,0.0002,16,124.20304004645915,97010.53746335949,33614.69854140813,36048166.26138105
57,0.0002,17,123.50370731423818,95282.84826559303,33664.21062583262,35851877.68516874
58,0.0002,18,122.85805107252766,93599.1009208404,33718.53939069147,35664709.97221535
59,0.0002,19,122.2550977931233,91963.66300059335,33773.718363350396,35486151.82766371
60,0.0002,20,121.62482323704405,90364.39375201095,33828.92495031541,35315788.048933305
61,0.00030000000000000003,1,-,-,-,-
62,0.00030000000000000003,2,-,-,-,-
63,0.00030000000000000003,3,-,-,-,-
64,0.00030000000000000003,4,122.09088324156701,86370.55259547828,34703.7717492415,35409192.42133602
65,0.00030000000000000003,5,121.56426562494454,84927.0223899426,34762.27585935722,35270242.96432102
66,0.00030000000000000003,6,121.11249674084809,83511.39711738803,34826.33561725994,35137394.88333807
67,0.00030000000000000003,7,120.66162102933632,82130.82172917161,34883.75830874131,35010291.24277637
68,0.00030000000000000003,8,120.24906506810201,80780.00275316012,34947.70070513015,34888942.241592936
69,0.00030000000000000003,9,119.80031218031672,79462.34507433538,35005.471603234095,34772517.316888995
70,0.00030000000000000003,10,119.42418180302097,78177.99548664188,35067.91435682995,34661055.54830003
71,0.00030000000000000003,11,119.08667210839222,76911.58247300454,35128.76641624727,34554277.54984719
72,0.00030000000000000003,12,118.71955867770755,75685.68645972,35185.02569097178,34451802.62163527
73,0.00030000000000000003,13,118.33983417611773,74474.07992498267,35249.51944251221,34353431.793109335
74,0.00030000000000000003,14,118.0347004308097,73295.21483908436,35301.1381288924,34258881.588020794
75,0.00030000000000000003,15,117.70295529432093,72142.68285374116,35367.304423227164,34167960.67011586
76,0.00030000000000000003,16,117.41031683893237,71016.92516350152,35419.54866813811,34080390.58722026
77,0.00030000000000000003,17,117.12457076482293,69908.32489037362,35472.47003074924,33996000.174894534
78,0.00030000000000000003,18,116.84131210160369,68833.96091779905,35531.69805836865,33914479.61357553
79,0.00030000000000000003,19,116.56185680905885,67771.52796559397,35581.024541455656,33835654.34183025
80,0.00030000000000000003,20,116.26777014029852,66739.69715849095,35631.32243347713,33759316.46004575
81,0.0004,1,-,-,-,-
82,0.0004,2,-,-,-,-
83,0.0004,3,-,-,-,-
84,0.0004,4,117.57527459864365,64266.29611149229,36506.82872476769,34140629.752071895
85,0.0004,5,117.36911368432541,63311.230294224464,36539.2026440674,34072390.88022502
86,0.0004,6,117.09116583878038,62383.88558235752,36587.1785608466,34005209.6771543
87,0.0004,7,116.87627574398626,61453.01250006946,36623.5431901366,33939293.72428629
88,0.0004,8,116.70058952090639,60557.02677953132,36647.79976149496,33874458.27324144
89,0.0004,9,116.43707940799261,59673.27430101124,36688.35828801722,33810459.34555391
90,0.0004,10,116.22056820657374,58808.628552188224,36717.46238556109,33747206.32155956
91,0.0004,11,116.02158615192336,57959.13514072426,36733.41594373046,33684516.33936791
92,0.0004,12,115.7912676561615,57133.11383772871,36768.88858480013,33622253.85835853
93,0.0004,13,115.54310813527665,56316.86495904405,36788.89818261671,33560290.98991106
94,0.0004,14,115.37218157341175,55516.12537973907,36790.11298481705,33498588.99483553
95,0.0004,15,115.12400798131767,54732.69343389506,36821.04942771139,33436943.584508896
96,0.0004,16,114.94650306188737,53970.409007129965,36812.98087023727,33375282.32185514
97,0.0004,17,114.67630369171962,53211.08750721203,36829.35645346373,33313429.94535348
98,0.0004,18,114.48795213528139,52474.25675520756,36824.337924847925,33251538.232344255
99,0.0004,19,114.26294078256088,51754.217246037384,36834.03968871382,33189104.49110957
100,0.0004,20,114.0811056342947,51047.24290804565,36817.89805430383,33126309.10468335
